"iso3","whoname","sex","year","age","pop","nLx","lx","deaths","crisis_deaths"
"LKA","Sri Lanka",2,1985,0,186727,98224.594840039,1e+05,3750.09130683173,100.136291646443
"LKA","Sri Lanka",2,1985,1,764273,390146.63310822,98027.3276000434,1601.98450046255,105.245613076246
"LKA","Sri Lanka",2,1985,5,921260,485085.134861976,97209.5453950629,731.251111693348,62.5515876240904
"LKA","Sri Lanka",2,1985,10,846374,483518.779955449,96824.5085497275,422.741909109875,55.1953010731551
"LKA","Sri Lanka",2,1985,15,836017,481398.066339511,96583.0034324521,1053.76133778462,73.7000077338697
"LKA","Sri Lanka",2,1985,20,769024,478053.468826186,95976.2231033525,1176.02256670136,66.1739086543196
"LKA","Sri Lanka",2,1985,25,710425,474364.600501409,95245.164427122,1114.97222016962,46.3266912882783
"LKA","Sri Lanka",2,1985,30,575178,470739.958856613,94500.6757734416,861.860460979322,38.5554737962365
"LKA","Sri Lanka",2,1985,35,496338,466569.942447669,93795.3077692037,1024.05674647432,31.0100295396794
"LKA","Sri Lanka",2,1985,40,395376,461506.271763212,92832.6692098637,910.534454,22.0958734662909
"LKA","Sri Lanka",2,1985,45,337287,454816.27307878,91769.8394954211,1196.30985261801,20.2403464888496
"LKA","Sri Lanka",2,1985,50,288797,444708.414221766,90156.669736091,1578.04331176087,19.4472720544963
"LKA","Sri Lanka",2,1985,55,248747,430194.77700705,87726.6959526153,1951.76892574766,17.4292963090014
"LKA","Sri Lanka",2,1985,60,202393,408038.364833282,84351.2148502048,2721.67384389881,15.7810717467246
"LKA","Sri Lanka",2,1985,65,150947,372600.652731274,78864.1310831082,3519.66022726923,14.2800233247955
"LKA","Sri Lanka",2,1985,70,109177,317839.083177491,70176.1300094014,4539.88113739773,10.4714220713679
"LKA","Sri Lanka",2,1985,75,70895,245816.631801991,56959.5032615948,4496.92892916667,7.6032470819038
"LKA","Sri Lanka",2,1985,80,36049,159533.041410531,41367.1494592014,4275.51616740625,5.07461762906688
"LKA","Sri Lanka",2,1985,85,15788,85118.9881738825,22446.0671050109,4076.7765706,2.44345430083134
"LKA","Sri Lanka",2,1986,0,180828,98441.4567883477,1e+05,3181.00231651845,59.3003424287421
"LKA","Sri Lanka",2,1986,1,757978,391415.233854349,98268.2853203863,1337.72829035936,109.654103445655
"LKA","Sri Lanka",2,1986,5,932036,486950.897753647,97577.4905590547,717.035757653996,66.5823229993247
"LKA","Sri Lanka",2,1986,10,854659,485394.881834139,97202.868542404,436.286276796635,58.9737296525159
"LKA","Sri Lanka",2,1986,15,837492,483467.926954911,96955.0841912516,905.967660004187,77.9519613553325
"LKA","Sri Lanka",2,1986,20,777912,480583.031172637,96432.0865907128,1021.3259267276,70.3030435428209
"LKA","Sri Lanka",2,1986,25,723756,477354.084472637,95801.1258783418,1001.61752739028,50.0220590483932
"LKA","Sri Lanka",2,1986,30,596042,474045.501236714,95140.507910713,833.392094114162,42.3705946086676
"LKA","Sri Lanka",2,1986,35,510193,469955.327811288,94477.6925839725,1056.58425555487,33.8708323253562
"LKA","Sri Lanka",2,1986,40,411127,464756.384836968,93504.4385405428,978.661791441048,24.7311369420257
"LKA","Sri Lanka",2,1986,45,345310,458168.172383338,92398.1153942445,1152.34065376147,22.2971689526369
"LKA","Sri Lanka",2,1986,50,295422,448484.796872956,90869.1535590908,1544.27509154257,21.3295654687083
"LKA","Sri Lanka",2,1986,55,254258,433643.257348375,88524.7651900917,2106.23029223702,19.2390021349771
"LKA","Sri Lanka",2,1986,60,208854,411259.068279763,84932.5377492581,2722.7603861727,17.5002896689558
"LKA","Sri Lanka",2,1986,65,156321,376636.516846954,79571.0895626472,3522.722157,15.8443068357842
"LKA","Sri Lanka",2,1986,70,112290,322752.333418076,71083.5171761344,4545.87721821192,11.6996905234971
