"iso3","year","sex","pop","lx","nLx","crisis_deaths","deaths","age"
"AFG",1985,2,591385,76470.4453125,377570.28125,0,3122.25540816551,15
"AFG",1985,2,488307,74477.0390625,366399.8125,0,3268.34629167197,20
"AFG",1985,2,410946,72024.640625,353576.78125,0,3086.98556062952,25
"AFG",1985,2,347101,69368.609375,339675.0625,0,2966.87804600969,30
"AFG",1985,2,317108,66465.203125,324658.53125,0,3026.159509819,35
"AFG",1985,2,230957,63366.98828125,308678.34375,0,2468.81802896596,40
"AFG",1985,2,182073,60067.3671875,291634.9375,0,2228.17182435002,45
"AFG",1986,2,581782,77230.953125,381508.6875,0,2955.16730670258,15
"AFG",1986,2,478931,75293.078125,370635.6875,0,3087.73861365998,20
"AFG",1986,2,402230,72903.53125,358131.03125,0,2911.10311920755,25
"AFG",1986,2,337590,70311.59375,344553.6875,0,2780.8242820669,30
"AFG",1986,2,309811,67473.40625,329856.5,0,2852.12980928924,35
"AFG",1986,2,232612,64436.73828125,314155.8125,0,2406.65294781327,40
"AFG",1986,2,178042,61186.4140625,297320.0625,0,2116.83261135034,45
"AFG",1987,2,578255,77476.71875,382467.53125,276.910614013672,3102.13349058758,15
"AFG",1987,2,474735,75424.9140625,371081.25,220.564651489258,3170.39378062589,20
"AFG",1987,2,396842,72946.7421875,358190.125,173.333999633789,2942.9978766609,25
"AFG",1987,2,333341,70290.390625,344359.125,135.396087646484,2783.08155285846,30
"AFG",1987,2,301617,67415.3203125,329527.9375,114.921257019043,2795.20370607544,35
"AFG",1987,2,238978,64361.453125,313769.90625,87.3393478393555,2480.57558564842,40
"AFG",1987,2,175409,61104.54296875,296917.40625,61.1413307189941,2088.44027544651,45
"AFG",1988,2,582310,78240.6015625,386415.8125,277.785675048828,3013.28372382093,15
"AFG",1988,2,476785,76241.015625,375300.5625,220.354187011719,3077.4460361735,20
"AFG",1988,2,395976,73818.609375,362688,171.648559570312,2839.43026711419,25
"AFG",1988,2,334212,71217.875,349143.09375,134.813262939453,2696.09682768211,30
"AFG",1988,2,294970,68401.328125,334598.34375,111.866096496582,2643.55926272459,35
"AFG",1988,2,248876,65402.61328125,319099.9375,90.852294921875,2502.98057812825,40
"AFG",1988,2,175410,62193.3828125,302443.96875,60.6904373168945,2032.35437035561,45
"AFG",1989,2,595730,79129.3203125,390990.1875,278.838409423828,2967.34276709147,15
"AFG",1989,2,486120,77181.7890625,380132.625,220.639022827148,3032.43353839964,20
"AFG",1989,2,401002,74810.5078125,367770.25,170.437103271484,2781.95757297892,25
"AFG",1989,2,339685,72259.09375,354482.8125,134.442077636719,2647.75235141627,30
"AFG",1989,2,293050,69496,340201.5625,108.686828613281,2539.07467457466,35
"AFG",1989,2,260249,66548.390625,324951.6875,93.3389129638672,2532.39705089759,40
"AFG",1989,2,179784,63386.39453125,308481.21875,61.0974922180176,2026.71765976399,45
"AFG",1990,2,619085,80436.609375,397945.1875,78.8644638061523,2761.92050908925,15
"AFG",1990,2,502796,78661.2578125,387914,62.3949432373047,2871.22372903675,20
"AFG",1990,2,412215,76446.0703125,376285.8125,47.9389686584473,2645.27376344427,25
"AFG",1990,2,348982,74031.359375,363652.84375,37.7693824768066,2532.07926652953,30
"AFG",1990,2,297215,71392.8359375,349951.9375,29.8960285186768,2412.9878649395,35
"AFG",1990,2,271489,68551.6953125,335200.75,26.4382991790771,2486.55046507437,40
"AFG",1990,2,189377,65481.61328125,319093.3125,17.5976963043213,2032.42072739918,45
"AFG",1991,2,657736,81259.0703125,401990.25,217.438522338867,2955.6029426977,15
"AFG",1991,2,533479,79452.6875,391809.9375,173.544723510742,3052.50835139956,20
"AFG",1991,2,435830,77210.796875,380052.6875,138.303527832031,2796.07460140716,25
"AFG",1991,2,366115,74772.5625,367322.21875,116.319496154785,2645.30339330435,30
"AFG",1991,2,308153,72118.5390625,353556.71875,95.4195404052734,2485.8081767587,35
"AFG",1991,2,282741,69266.46875,338763.46875,88.8375091552734,2568.19917721208,40
"AFG",1991,2,207222,66189.40625,322564.90625,72.5026702880859,2219.71334958449,45
"AFG",1992,2,708167,82153.671875,406560.59375,244.625228881836,3078.97758256597,15
"AFG",1992,2,573415,80386.0234375,396575.9375,195.624633789062,3184.47343609296,20
"AFG",1992,2,467793,78183.6328125,385018.875,152.512557983398,2912.68263218505,25
"AFG",1992,2,389619,75786.3359375,372514.625,122.131202697754,2724.170206537,30
"AFG",1992,2,326416,73181.7578125,358997.3125,96.9132385253906,2548.57703918219,35
"AFG",1992,2,294225,70378.796875,344448.8125,86.0632476806641,2587.46243873611,40
"AFG",1992,2,230777,67349.65625,328464.71875,69.0870971679688,2400.96544948127,45
"AFG",1993,2,763983,83040.234375,411168.03125,206.107131958008,3149.85136275133,15
"AFG",1993,2,617953,81345.015625,401557.15625,163.465179443359,3272.77853680169,20
"AFG",1993,2,503982,79218.3046875,390372.96875,126.012786865234,3000.90745587274,25
"AFG",1993,2,416407,76893.8671875,378234.53125,97.4900436401367,2786.900351068,30
"AFG",1993,2,348678,74362.4453125,365067.40625,75.855354309082,2613.95227740426,35
"AFG",1993,2,305028,71625.625,350825.9375,64.2187347412109,2585.12822026759,40
"AFG",1993,2,256296,68652.359375,335084.25,52.7086715698242,2582.13329708576,45
"AFG",1994,2,817647,83522.9453125,413381.375,484.99658203125,3520.60614190483,15
"AFG",1994,2,661698,81743.015625,403385.1875,387.492004394531,3599.18107792642,20
"AFG",1994,2,539535,79548.875,391899.96875,298.489593505859,3271.51315836003,25
"AFG",1994,2,443114,77172.5625,379543.65625,228.191162109375,2996.51299497671,30
"AFG",1994,2,370672,74605.9375,366231.25,176.317428588867,2793.5523512736,35
"AFG",1994,2,315307,71845.8515625,351881.84375,144.134063720703,2682.70054189768,40
"AFG",1994,2,278417,68851.9609375,336047.46875,123.260627746582,2810.56575576961,45
"AFG",1995,2,864952,84203.0078125,417106.03125,312.749603271484,3409.04204318672,15
"AFG",1995,2,701409,82559.0625,407808.21875,248.815872192383,3532.22006227076,20
"AFG",1995,2,571581,80505.3828125,397003.46875,192.796524047852,3234.44540398009,25
"AFG",1995,2,467767,78258.828125,385262.3125,148.029541015625,2975.79817619314,30
"AFG",1995,2,389883,75807.8984375,372484.96875,114.723922729492,2786.94466490624,35
"AFG",1995,2,325641,73145.3203125,358568.28125,93.2437362670898,2650.90411956701,40
"AFG",1995,2,293969,70226.3671875,343056.59375,82.2344665527344,2860.01667884551,45
"AFG",1996,2,897953,84807.3671875,420379.25,184.863540649414,3286.37912885565,15
"AFG",1996,2,729511,83268.8359375,411627.75,148.319107055664,3443.13096145121,20
"AFG",1996,2,594352,81326.046875,401368.09375,115.099723815918,3170.4252974838,25
"AFG",1996,2,485713,79185.046875,390134.34375,88.0727767944336,2930.77497739345,30
"AFG",1996,2,403672,76830.9921875,377811.09375,67.7066192626953,2755.03435093164,35
"AFG",1996,2,334246,74252.453125,364272.65625,54.0628471374512,2617.15412354469,40
"AFG",1996,2,302124,71400.1875,349054.34375,47.546745300293,2844.41522172466,45
"AFG",1997,2,923917,85076.953125,421655.75,356.645874023438,3437.90649181278,15
"AFG",1997,2,751265,83507.96875,412789.21875,285.649993896484,3562.50266751042,20
"AFG",1997,2,611701,81550.5234375,402477.5625,222.763214111328,3263.02967967372,25
"AFG",1997,2,499980,79403.5625,391234.90625,170.765151977539,3005.569015285,30
"AFG",1997,2,413718,77051.703125,378937.0625,130.536209106445,2807.01371901669,35
"AFG",1997,2,342107,74480.671875,365431.21875,103.913581848145,2665.60111134406,40
"AFG",1997,2,303803,71633.3359375,350237.09375,89.6240081787109,2846.14437417127,45
"AFG",1998,2,947795,85128.046875,421586.34375,781.319885253906,3835.94645661069,15
"AFG",1998,2,770200,83421.7890625,412108.875,601.8525390625,3851.55080389231,20
"AFG",1998,2,626722,81360.953125,401290.875,489.748229980469,3505.93787201867,25
"AFG",1998,2,512884,79116.09375,389576.875,396.061950683594,3215.8253176529,30
"AFG",1998,2,422327,76673.4140625,376857.28125,312.494995117188,2969.02900916012,35
"AFG",1998,2,350246,74024.046875,362940.8125,271.326690673828,2831.7677300293,40
"AFG",1998,2,302433,71089.640625,347317.125,241.18798828125,2931.6600939855,45
"AFG",1999,2,975580,85828.625,425715.96875,263.388488769531,3306.97948468383,15
"AFG",1999,2,791143,84385.5546875,417516.4375,210.573013305664,3446.22783419164,20
"AFG",1999,2,643447,82566.8515625,407901.125,165.034378051758,3169.0801564795,25
"AFG",1999,2,527274,80557.875,397342.625,126.986297607422,2942.09543260373,30
"AFG",1999,2,432509,78340.7734375,385694.15625,96.0750122070312,2744.61365185119,35
"AFG",1999,2,359573,75893.234375,372764.84375,76.3004684448242,2644.36284144549,40
"AFG",1999,2,302695,73151.859375,358038.28125,61.8994216918945,2704.68351100106,45
"AFG",2000,2,1011001,86165.921875,427477.9375,283.636169433594,3339.30194078269,15
"AFG",2000,2,817455,84753.9765625,419452.78125,225.757095336914,3469.6244274918,20
"AFG",2000,2,664281,82973.640625,410038.5,176.07861328125,3187.27080011275,25
"AFG",2000,2,544778,81006.2421875,399694.53125,135.654312133789,2962.16509348247,30
"AFG",2000,2,446045,78832.953125,388262.53125,102.784210205078,2763.5116892471,35
"AFG",2000,2,370642,76427.4375,375533.46875,81.6508636474609,2668.67413224839,40
"AFG",2000,2,307246,73723.546875,360970.5625,64.8846130371094,2698.99131219462,45
"AFG",2001,2,1066682,86595.2265625,429780.40625,220.65966796875,3342.9651192585,15
"AFG",2001,2,860690,85248.3046875,422092.1875,177.24577331543,3490.2293319162,20
"AFG",2001,2,692892,83536.65625,413021,138.183929443359,3187.03611405753,25
"AFG",2001,2,565258,81636.921875,403012.71875,106.110580444336,2955.48165641446,30
"AFG",2001,2,461556,79529.75,391900.34375,79.8791656494141,2761.33057250641,35
"AFG",2001,2,382314,77185.1484375,379459.15625,62.9025268554688,2670.18231043126,40
"AFG",2001,2,314525,74534.90625,365129.65625,49.3827476501465,2696.98651165236,45
"AFG",2002,2,1127692,87065.2421875,432359.03125,71.4375839233398,3263.5324154906,15
"AFG",2002,2,914227,85814,425172.53125,49.8220252990723,3458.14328034781,20
