"","iso_alpha_3_code","YR1985","YR1986","YR1987","YR1988","YR1989","YR1990","YR1991","YR1992","YR1993","YR1994","YR1995","YR1996","YR1997","YR1998","YR1999","YR2000","YR2001","YR2002","YR2003","YR2004","YR2005","YR2006","YR2007","YR2008","YR2009","YR2010","YR2011","YR2012","YR2013","YR2014","YR2015","YR2016","YR2017","YR2018","YR2019","YR2020","YR2021","YR2022","YR2023"
"1","ABW",19232.091339884,20955.6206148948,24363.8303324223,28960.3783288845,32340.5099035143,33050.6442784391,34550.9178862028,35369.9962868371,36817.5539766641,38584.9261636103,38366.0717856556,37663.96356464,39115.8131101858,38714.0586907077,38059.9704793716,39934.2438643444,40874.8856293175,40007.7900204558,40050.6165495942,42586.3672843964,41999.7925159901,41974.4062775006,42743.2264651505,42990.8735373668,37505.1218426687,36069.4767343863,36936.1463649744,36256.758349137,38300.5412154143,37433.0840898173,36963.0785495511,37377.5022869711,39797.6614057063,40544.4252964126,39432.1289328699,29935.0702780022,38226.146156979,42260.4518367931,6371.65914752492
"2","AFG",6648.20683437522,6888.91855433533,6257.05860734322,5705.83566510903,5159.12646303003,4987.93231823363,4421.89404617073,4004.26051399741,2587.00203159819,1822.19414856267,2571.79735140002,2338.31858476924,2133.03925097401,1958.67635233067,1789.14765689034,1666.44865002629,1498.1045669026,1806.23416682495,1822.97848351681,1777.45406899787,1907.59701357669,1928.29421602143,2155.89816122615,2196.10036842951,2572.58958889668,2858.12696496557,2766.34209587397,2994.48631913259,3054.45157082501,3024.98212032803,2974.57332173451,2964.2871729567,2956.7699250337,2906.84260021104,2933.9585984536,2776.56152113396,2138.87024713086,1955.21290440094,2029.18227763635
"3","AGO",7850.70487019046,7795.38766331869,7839.39413719331,8044.39232060989,7780.94550550364,7265.34820786392,7097.33690133125,6469.34369330304,4764.72832267977,4676.55125756778,5203.99246053156,5715.30854478114,5929.9480655087,6007.8632012225,5944.01614383895,5930.05093750066,5979.75824466987,6573.98519418253,6543.3464296114,7009.69573928968,7781.43278819043,8373.92813783021,9205.88700138772,9865.30892312139,9589.34762476824,9644.1239865184,9610.84573742373,10046.9910857176,10158.144066145,10262.8470148798,9991.60250008936,9390.91827086088,9049.96266717646,8626.72581572776,8280.18039135071,7562.08736674225,7414.27895783202,7407.10529226277,7247.47644174941
"4","ALB",5809.82119435917,6019.82621826141,5854.31131433874,5663.31310017915,6055.41922489177,5377.9446565558,3895.41628837015,3637.44034973841,4009.54865526712,4369.19561322821,4981.95327417341,5469.19726589039,4902.52799610365,5369.07630993237,6099.70392549286,6565.11270374311,7176.61337361852,7524.71323513617,7970.49316514895,8445.26113769001,8957.70965522176,9546.49301184324,10194.4353479055,11043.4389767839,11491.0450042866,11976.3214674401,12314.2504385294,12509.4156460404,12657.9317259324,12909.2407950878,13234.1440599067,13694.7310779137,14228.5670700585,14837.0249272247,15211.4433111205,14793.8528859268,16261.804554188,17260.1194661056,18059.9379072012
"5","AND",48212.9054451842,47820.9518479734,48322.6678373971,48719.419271951,49107.9515098047,49128.7343016069,48684.6034425175,47550.9273491918,45570.416914546,45218.6139908682,45069.2191430982,46268.5362726215,50046.6156917428,51246.193025818,52965.7372253224,54467.8738908304,57394.1783841602,57438.2010720728,59848.7888006167,62172.3484679313,63153.4531317932,65864.391797578,68644.1163997982,66629.149344497,64978.0543227723,65772.5330024323,66654.472880346,62940.9818652409,60406.9609197114,61700.2370940327,62476.0657551217,64084.5149342309,63176.707140374,63174.2620150843,63324.8041142748,55260.3411948963,58829.8500720505,63818.309268851,64526.5560970389
"6","ARE",130647.343270223,104360.026574187,100549.544103168,91648.6500185127,96741.523687752,107947.231110086,103008.343112544,101028.778971352,97376.9716976017,99366.3417153958,101440.164263334,101534.220346346,102914.569378757,97031.2434121011,94160.1303456758,98713.8363256673,94911.8194756248,92419.9365203907,95812.7159837545,100249.396878396,98053.5134242809,94114.0023153062,81010.1451726284,70245.9808142366,58202.0307061993,55724.7276983063,58543.7350775664,58994.3104052304,61361.5704651121,63309.3109608294,66992.2401452914,70109.727654685,70048.5035838727,70410.8223858472,70638.7327313241,66590.3955089864,68912.5455452314,73724.3071618057,75627.0549093525
"7","ARG",18841.2450671995,19700.6157342412,19930.0668221116,19417.7860122996,17761.8544232706,17073.1580768193,18369.0107174587,19553.8253421588,20873.2191932961,21795.8406933293,20898.5319124925,21777.3083494767,23263.2440234421,23880.7313822427,22807.9821513424,22373.03678309,21152.8567790195,18647.0998581005,20086.5123167203,21679.002559219,23355.3307814191,24975.0187058769,26952.0937769418,27768.6843809796,25861.543571103,28407.4305734637,29767.772411443,29129.1690188431,29497.8525928233,28442.2481891173,28905.7613481314,28006.7736999391,28499.0342488969,27472.61025086,26656.7939194468,23785.7843805643,26086.8023552274,27127.4390969333,26466.5465596961
"8","ARM",5939.60557057296,6018.38457219541,6097.16357381786,6190.71476642507,6322.01200846922,6129.98829457637,5321.37255147331,3134.36025821136,2955.4425290313,3192.25979061776,3464.83224035992,3694.61525642914,3849.38193487809,4169.73099494953,4353.7100695751,4665.15612333024,5170.76463236335,5906.26933617911,6778.85189789381,7535.48358354372,8635.02034431875,9841.8929818114,11272.520424144,12135.0322583276,10491.2460679768,10787.5694124723,11361.362209239,12240.2057079733,12700.9429200555,13210.3327707559,13686.7461269439,13775.1811130634,14880.5563397717,15739.1469036968,17031.1183072476,15889.3437365965,16899.0709181676,19100.2456307942,20780.6440042171
"9","ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13644.7709736276
"10","ATG",15069.6524093545,16889.0269438124,18108.5647808927,19163.1466779941,20279.3043263999,20991.578596164,21345.3895859699,21250.3888680594,21973.1643315122,23007.4237002659,21577.8546026361,22541.6507388614,23300.9048951623,23948.0231287329,24415.7390715317,25504.039074952,23973.5783929234,23912.3671263473,25079.5968751067,26234.8762812089,27608.7427000392,30722.6015554287,33125.4781267446,32629.5021584401,28290.0613472518,25718.7741721695,24914.3966226871,25477.1192437001,25088.5666700905,25431.0249671081,25596.3216196952,26462.4119341251,26949.1180766044,28663.4525889592,29394.6290117812,23704.048687826,25493.1295548691,27757.17352739,28665.5966277555
"11","AUS",31851.2066900893,32638.7883266872,32969.8234316159,34301.0442504594,35033.3408410711,35754.1141170955,35166.4698345273,34923.6676324886,36014.5915826843,37088.9400872028,38102.4330016468,39097.2104894606,40189.9261064134,41646.8987332921,43264.8525665447,44449.852777819,44771.4613117813,46026.6413897605,46906.5504946725,48368.1086259664,49290.0363305889,49969.2431898083,50917.0140186351,51696.610463009,51600.5720398176,51935.2017847145,52452.3787571427,53564.3304077806,54022.4668771926,54610.3938064056,55015.2964787314,55667.9241534879,56028.3713006226,56800.6357529854,57188.2949487875,56298.1955662662,57406.1787604549,59099.8479392399,59456.3884188866
"12","AUT",38624.0219796971,39487.8105168064,39998.4057865448,41258.254176247,42669.3284636944,44185.6033812944,45252.2378614827,45693.9414436961,45557.4288009203,46472.5690932382,47639.454729688,48692.970273325,49656.1054942487,51378.0947882366,53101.8528145705,54762.5796214008,55244.6322107554,55881.4240105944,56133.4193515393,57312.0590271475,58200.3256298781,59913.4044082921,61945.5058150023,62653.7331928151,60137.3462187105,61095.0798402765,62669.162997272,62808.5709119248,62455.3989818704,62378.971893348,62309.3942698872,62865.4863848378,63840.3566241592,65071.0155162726,65721.9904800008,61108.4211360952,63421.2035870778,65836.8893659608,64643.9721835092
"13","AZE",13836.4443385456,14037.5136279596,14251.1614351379,14062.6457308463,12210.2526724573,10612.9666645849,10399.3931166437,7928.37229522939,6005.19779709532,4757.5844127957,4147.97469107883,4159.5978922991,4358.60480019062,4749.17444077969,5056.04634019211,5571.30950249852,6075.61452386132,6599.65760594523,7218.4718855466,7817.71610674925,9901.92662966046,13172.5812939603,16280.083507883,17656.9634509611,18901.8857609001,19621.3843451177,19386.7434013253,19545.0718576668,20414.8314836618,20716.1415229269,20694.7787550356,19830.3223176308,19675.9598908264,19798.8335387146,20122.7128524509,19126.094903135,20111.3756952109,21051.2687619289,21349.3504704388
"14","BDI",1313.48656344364,1330.97756329977,1372.62393776348,1410.48618312908,1402.42453987629,1422.36555928831,1463.80004114456,1440.41493181761,1396.20501876217,1335.23412309396,1157.70236496855,1065.49493277573,1049.72976201819,1079.28150260621,1043.34196299229,1013.49647878966,1009.04532512418,1024.87255049194,981.063469409197,990.98086387937,963.581427276904,980.027004845494,977.305464784595,983.532411954684,970.474105163458,973.562365502537,977.568691072031,985.624648584412,998.078995083245,1006.1694513767,945.995531486505,925.125604037851,908.726397522953,896.211966248355,883.152427916289,860.998892203647,864.280732749477,857.153625847217,857.091185959625
