"iso_alpha_3_code","year","deaths_hiv"
"03M49WLD",1985,"11303"
"AFG",1985,"0"
"AUS",1985,"2"
"BGD",1985,"0"
"BTN",1985,"0"
"BRN",1985,"0"
"KHM",1985,"0"
"CHN",1985,"0"
"PRK",1985,"0"
"FJI",1985,"0"
"IND",1985,"0"
"IDN",1985,"0"
"JPN",1985,"0"
"LAO",1985,"0"
"MYS",1985,"0"
"MDV",1985,"0"
"MNG",1985,"0"
"MMR",1985,"0"
"NPL",1985,"0"
"NZL",1985,"2"
"PAK",1985,"0"
"PNG",1985,"0"
"PHL",1985,"0"
"KOR",1985,"0"
"SGP",1985,"0"
"LKA",1985,"0"
"THA",1985,"0"
"TLS",1985,"0"
"VNM",1985,"0"
"BHS",1985,"0"
"BRB",1985,"0"
"BLZ",1985,"0"
"CUB",1985,"7"
"DOM",1985,"5"
"GUY",1985,"0"
"HTI",1985,"59"
"JAM",1985,"3"
"SUR",1985,"1"
"TTO",1985,"3"
"AGO",1985,"18"
"BWA",1985,"10"
"COM",1985,"0"
"ERI",1985,"17"
"SWZ",1985,"0"
"ETH",1985,"335"
"KEN",1985,"285"
"LSO",1985,"3"
"MDG",1985,"0"
"MWI",1985,"906"
"MUS",1985,"0"
"MOZ",1985,"84"
"NAM",1985,"9"
"RWA",1985,"96"
"ZAF",1985,"397"
"SSD",1985,"34"
"UGA",1985,"2777"
"TZA",1985,"569"
"ZMB",1985,"363"
"ZWE",1985,"444"
"ALB",1985,"0"
"ARM",1985,"0"
"AZE",1985,"0"
"BLR",1985,"0"
"BIH",1985,"0"
"GEO",1985,"0"
"KAZ",1985,"0"
"KGZ",1985,"0"
"MNE",1985,"0"
"MKD",1985,"0"
"MDA",1985,"0"
"RUS",1985,"0"
"TJK",1985,"0"
"TKM",1985,"0"
"UKR",1985,"0"
"UZB",1985,"5"
"ARG",1985,"2"
"BOL",1985,"2"
"BRA",1985,"0"
"CHL",1985,"0"
"COL",1985,"3"
"CRI",1985,"8"
"ECU",1985,"0"
"SLV",1985,"0"
"GTM",1985,"2"
"HND",1985,"23"
"MEX",1985,"135"
"NIC",1985,"0"
"PAN",1985,"7"
"PRY",1985,"0"
"PER",1985,"68"
"URY",1985,"2"
"VEN",1985,"152"
"DZA",1985,"1"
"BHR",1985,"0"
"DJI",1985,"0"
"EGY",1985,"0"
"IRN",1985,"3"
"JOR",1985,"0"
"KWT",1985,"0"
"LBN",1985,"0"
"LBY",1985,"0"
"MAR",1985,"10"
"OMN",1985,"0"
"QAT",1985,"0"
"SAU",1985,"0"
"SOM",1985,"2"
"SDN",1985,"1"
"SYR",1985,"0"
"TUN",1985,"0"
"ARE",1985,"0"
"YEM",1985,"7"
