"iso_alpha_3_code","year","t","0.025","0.5","0.975","sab","estimate"
"AFG",1980.5,1,0.00082669099866814,0.0123229328219873,0.156133200752915,NA,"MMEIG2022 95% CI"
"AFG",1981.5,2,0.000986452771525254,0.0138750370563416,0.16800473548064,NA,"MMEIG2022 95% CI"
"AFG",1982.5,3,0.00122177996741192,0.0154132023801221,0.173514288917766,NA,"MMEIG2022 95% CI"
"AFG",1983.5,4,0.00149883063200702,0.0169715635226576,0.193377824253633,NA,"MMEIG2022 95% CI"
"AFG",1984.5,5,0.00186261020862412,0.0194849409332479,0.202751591685107,NA,"MMEIG2022 95% CI"
"AFG",1985.5,6,0.00221012833344333,0.0223561281519005,0.198661676972324,NA,"MMEIG2022 95% CI"
"AFG",1986.5,7,0.00259004683420335,0.0250521226804656,0.207631884623386,NA,"MMEIG2022 95% CI"
"AFG",1987.5,8,0.00307390665891188,0.0280897098116632,0.202001067091132,NA,"MMEIG2022 95% CI"
"AFG",1988.5,9,0.00402437191177017,0.0330662600398051,0.21354499635477,NA,"MMEIG2022 95% CI"
"AFG",1989.5,10,0.00482552294643462,0.0369720198791246,0.212525655409489,NA,"MMEIG2022 95% CI"
"AFG",1990.5,11,0.00556440382982732,0.04167031828253,0.22556282243273,NA,"MMEIG2022 95% CI"
"AFG",1991.5,12,0.00738869699969935,0.0476431371431291,0.233037500651137,NA,"MMEIG2022 95% CI"
"AFG",1992.5,13,0.00986307677989112,0.053563091692487,0.246661762359142,NA,"MMEIG2022 95% CI"
"AFG",1993.5,14,0.0119194542334293,0.0606235337217689,0.237074734976573,NA,"MMEIG2022 95% CI"
"AFG",1994.5,15,0.0151474742761342,0.0676904995075523,0.254473604206801,NA,"MMEIG2022 95% CI"
"AFG",1995.5,16,0.0188073358365411,0.0748864824829166,0.253106254542292,NA,"MMEIG2022 95% CI"
"AFG",1996.5,17,0.0226520897121593,0.0851733584057387,0.263779440231401,NA,"MMEIG2022 95% CI"
"AFG",1997.5,18,0.0310261903232789,0.0950556402711143,0.266246445583791,NA,"MMEIG2022 95% CI"
"AFG",1998.5,19,0.039056403679858,0.107530249595985,0.263109990166285,NA,"MMEIG2022 95% CI"
"AFG",1999.5,20,0.0547333069812954,0.12292378497565,0.257938803285668,NA,"MMEIG2022 95% CI"
"AFG",2000.5,21,0.0711219583143435,0.138440071576601,0.264647696575136,NA,"MMEIG2022 95% CI"
"AFG",2001.5,22,0.0898364808904394,0.15798496171511,0.275503067921366,0.143,"MMEIG2022 95% CI"
"AFG",2002.5,23,0.109813380592351,0.18132790142823,0.306265810993365,NA,"MMEIG2022 95% CI"
"AFG",2003.5,24,0.119013687518857,0.209582660307502,0.353249737345306,NA,"MMEIG2022 95% CI"
"AFG",2004.5,25,0.143912845637941,0.2428210323741,0.385947270800915,NA,"MMEIG2022 95% CI"
"AFG",2005.5,26,0.17671661397991,0.277250346742521,0.423516698728201,NA,"MMEIG2022 95% CI"
"AFG",2006.5,27,0.210796984047853,0.313182195560703,0.451333757249844,NA,"MMEIG2022 95% CI"
"AFG",2007.5,28,0.256333126325783,0.344340935980248,0.454133626780268,0.343,"MMEIG2022 95% CI"
"AFG",2008.5,29,0.287883080131473,0.373060455175096,0.473830110295314,0.399,"MMEIG2022 95% CI"
"AFG",2009.5,30,0.308894739988847,0.399696174823403,0.501762037089301,0.386,"MMEIG2022 95% CI"
"AFG",2010.5,31,0.328776730650527,0.425916536740735,0.529588792025738,NA,"MMEIG2022 95% CI"
"AFG",2011.5,32,0.354779994677872,0.451824976260237,0.559528080596406,0.452,"MMEIG2022 95% CI"
"AFG",2012.5,33,0.377002059634979,0.478608688762097,0.590218573892465,NA,"MMEIG2022 95% CI"
"AFG",2013.5,34,0.406560013509386,0.505613597543366,0.611571843648641,0.534,"MMEIG2022 95% CI"
"AFG",2014.5,35,0.417845277735821,0.525337942104592,0.632787867088539,NA,"MMEIG2022 95% CI"
"AFG",2015.5,36,0.438879678790271,0.553830237071887,0.661532346968314,0.505,"MMEIG2022 95% CI"
"AFG",2016.5,37,0.45538648023999,0.584877486383726,0.700249416645467,0.603,"MMEIG2022 95% CI"
"AFG",2017.5,38,0.437063810127012,0.616971584210965,0.755023781084427,NA,"MMEIG2022 95% CI"
"AFG",2018.5,39,0.428652315344027,0.648511452329455,0.803429035266995,NA,"MMEIG2022 95% CI"
"AFG",2019.5,40,0.426206730349101,0.678612614010882,0.847175230227541,NA,"MMEIG2022 95% CI"
"AFG",2020.5,41,0.432670501413901,0.700166144593172,0.87815259191522,NA,"MMEIG2022 95% CI"
"AGO",1980.5,1,0.0123465031619517,0.109319652308955,0.53626409673286,NA,"MMEIG2022 95% CI"
"AGO",1981.5,2,0.0129605851211923,0.113242832368586,0.515963615603582,NA,"MMEIG2022 95% CI"
"AGO",1982.5,3,0.0154164453026285,0.122298637030182,0.513255604076209,NA,"MMEIG2022 95% CI"
"AGO",1983.5,4,0.0192778824274961,0.131755506554614,0.491040354496494,NA,"MMEIG2022 95% CI"
"AGO",1984.5,5,0.0216191236619307,0.138863403911004,0.509315601522053,NA,"MMEIG2022 95% CI"
"AGO",1985.5,6,0.0246437382713489,0.145174607758334,0.504692410144905,NA,"MMEIG2022 95% CI"
"AGO",1986.5,7,0.0300458254282534,0.153888013470327,0.498963300188245,NA,"MMEIG2022 95% CI"
"AGO",1987.5,8,0.0324351150861179,0.163648109550485,0.496830774009816,NA,"MMEIG2022 95% CI"
"AGO",1988.5,9,0.0372054369226232,0.173379254515605,0.483345478543243,NA,"MMEIG2022 95% CI"
"AGO",1989.5,10,0.0427177331419719,0.182622764241021,0.48343260903692,NA,"MMEIG2022 95% CI"
"AGO",1990.5,11,0.0522385885471663,0.190246469650209,0.476305663411376,NA,"MMEIG2022 95% CI"
"AGO",1991.5,12,0.0633292868916866,0.201824719026365,0.45079152838307,NA,"MMEIG2022 95% CI"
"AGO",1992.5,13,0.0774550495367297,0.209094704794282,0.451173570758181,NA,"MMEIG2022 95% CI"
"AGO",1993.5,14,0.0918547126255022,0.2171617976928,0.426272230347393,NA,"MMEIG2022 95% CI"
"AGO",1994.5,15,0.113613124370883,0.229151039845698,0.421820845361968,NA,"MMEIG2022 95% CI"
"AGO",1995.5,16,0.137714178778346,0.243627421857013,0.416978113496549,0.225,"MMEIG2022 95% CI"
"AGO",1996.5,17,0.143183232167589,0.261410375619494,0.439576497001005,NA,"MMEIG2022 95% CI"
"AGO",1997.5,18,0.14921848940283,0.284608468885378,0.477049642364095,NA,"MMEIG2022 95% CI"
"AGO",1998.5,19,0.167547306259532,0.309094084887298,0.503417983560196,NA,"MMEIG2022 95% CI"
"AGO",1999.5,20,0.17896696832788,0.334374305556579,0.527845763076105,NA,"MMEIG2022 95% CI"
"AGO",2000.5,21,0.191496171158616,0.359768784901286,0.561172855127469,NA,"MMEIG2022 95% CI"
"AGO",2001.5,22,0.216982933167114,0.384266293820031,0.58307244567587,NA,"MMEIG2022 95% CI"
"AGO",2002.5,23,0.244434607515504,0.408502376289377,0.593720402587158,NA,"MMEIG2022 95% CI"
"AGO",2003.5,24,0.276552874403202,0.431934303653492,0.608690889397501,0.473,"MMEIG2022 95% CI"
"AGO",2004.5,25,0.284436445421422,0.446932191372729,0.634807195955305,NA,"MMEIG2022 95% CI"
"AGO",2005.5,26,0.282364811252766,0.453744604890649,0.662114024763784,NA,"MMEIG2022 95% CI"
"AGO",2006.5,27,0.283125719410589,0.467249327026507,0.672312134307355,NA,"MMEIG2022 95% CI"
"AGO",2007.5,28,0.29715993687705,0.478404408356441,0.675428613578329,NA,"MMEIG2022 95% CI"
"AGO",2008.5,29,0.284464862628948,0.486494136465934,0.688464082997454,NA,"MMEIG2022 95% CI"
"AGO",2009.5,30,0.295538968301979,0.497671941927989,0.697643217400827,NA,"MMEIG2022 95% CI"
"AGO",2010.5,31,0.305380507653022,0.506973417959924,0.690869630863693,NA,"MMEIG2022 95% CI"
"AGO",2011.5,32,0.317272274706621,0.511579534341591,0.688785505822802,NA,"MMEIG2022 95% CI"
"AGO",2012.5,33,0.322408947050383,0.516901510763756,0.693039464862666,0.496,"MMEIG2022 95% CI"
"AGO",2013.5,34,0.315780752077866,0.527773087827065,0.727952532169944,NA,"MMEIG2022 95% CI"
"AGO",2014.5,35,0.300242802525121,0.534847483228732,0.75393046123093,NA,"MMEIG2022 95% CI"
"AGO",2015.5,36,0.285554983980439,0.556318628468899,0.792304422815631,NA,"MMEIG2022 95% CI"
"AGO",2016.5,37,0.273914567158967,0.575778674565399,0.821831063948964,NA,"MMEIG2022 95% CI"
"AGO",2017.5,38,0.25834628332744,0.58846222284131,0.847368581305993,NA,"MMEIG2022 95% CI"
"AGO",2018.5,39,0.250096678824948,0.604065009562642,0.874838454106382,NA,"MMEIG2022 95% CI"
"AGO",2019.5,40,0.26124238826016,0.616362168905175,0.888938137920903,NA,"MMEIG2022 95% CI"
"AGO",2020.5,41,0.244867611508253,0.630101813681744,0.906755076731652,NA,"MMEIG2022 95% CI"
"ALB",1980.5,1,0.392726656939447,0.815758023865827,0.967408288830791,NA,"MMEIG2022 95% CI"
"ALB",1981.5,2,0.44237064569887,0.8284376818471,0.966114104448716,NA,"MMEIG2022 95% CI"
"ALB",1982.5,3,0.497080034698207,0.841150962905902,0.968430081764281,NA,"MMEIG2022 95% CI"
"ALB",1983.5,4,0.546174854907998,0.852346965015613,0.965295503533148,NA,"MMEIG2022 95% CI"
"ALB",1984.5,5,0.579047338151058,0.861315088367608,0.964999968285218,NA,"MMEIG2022 95% CI"
"ALB",1985.5,6,0.633037069942366,0.869957962789684,0.962067165294465,NA,"MMEIG2022 95% CI"
"ALB",1986.5,7,0.67907422005707,0.880075734664457,0.960642645786606,NA,"MMEIG2022 95% CI"
"ALB",1987.5,8,0.73756238982298,0.884611212373331,0.958606308633695,NA,"MMEIG2022 95% CI"
"ALB",1988.5,9,0.776376379702713,0.891829011632885,0.95463383603342,NA,"MMEIG2022 95% CI"
"ALB",1989.5,10,0.807129228293858,0.89873895143076,0.952044258512505,NA,"MMEIG2022 95% CI"
"ALB",1990.5,11,0.836223242909517,0.902713709694813,0.946083741509492,0.93,"MMEIG2022 95% CI"
"ALB",1991.5,12,0.85208942748245,0.90428593911488,0.940768568537483,0.926,"MMEIG2022 95% CI"
