iso3,whoname,sdg1,sdg2,sdg3,ldc,sids_lldcs,who_memberstate
ABW,Aruba,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Caribbean (M49),,Small island developing States (SIDS),no
AFG,Afghanistan,Central Asia (M49) and Southern Asia (MDG=M49),Southern Asia (MDG=M49),Southern Asia (MDG=M49),Least developed countries (LDCs),Landlocked developing countries (LLDCs),yes
AGO,Angola,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49),Least developed countries (LDCs),,yes
AIA,Anguilla,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Caribbean (M49),,Small island developing States (SIDS),no
ALA,Åland Islands,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),,,no
ALB,Albania,Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),,,yes
AND,Andorra,Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),,,yes
ANT,"Netherlands Antilles, Former",,,,,,no
ARE,United Arab Emirates,Western Asia (M49) and Northern Africa (M49),Western Asia (M49),Western Asia (M49),,,yes
ARG,Argentina,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),South America (M49),,,yes
ARM,Armenia,Western Asia (M49) and Northern Africa (M49),Western Asia (M49),Western Asia (M49),,Landlocked developing countries (LLDCs),yes
ASM,American Samoa,Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Polynesia (M49),,Small island developing States (SIDS),no
ATF,French Southern and Antarctic Territories,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),,,no
ATG,Antigua and Barbuda,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Caribbean (M49),,Small island developing States (SIDS),yes
AUS,Australia,Australia and New Zealand (M49),Oceania (M49),Australia and New Zealand (M49),,,yes
AUT,Austria,Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),,,yes
AZE,Azerbaijan,Western Asia (M49) and Northern Africa (M49),Western Asia (M49),Western Asia (M49),,Landlocked developing countries (LLDCs),yes
BDI,Burundi,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Least developed countries (LDCs),Landlocked developing countries (LLDCs),yes
BEL,Belgium,Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),,,yes
BEN,Benin,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),Least developed countries (LDCs),,yes
BES,"Bonaire, Sint Eustatius and Saba",Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Caribbean (M49),,Small island developing States (SIDS),no
BFA,Burkina Faso,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),Least developed countries (LDCs),Landlocked developing countries (LLDCs),yes
BGD,Bangladesh,Central Asia (M49) and Southern Asia (MDG=M49),Southern Asia (MDG=M49),Southern Asia (MDG=M49),Least developed countries (LDCs),,yes
BGR,Bulgaria,Northern America (M49) and Europe (M49),Europe (M49),Eastern Europe (M49),,,yes
BHR,Bahrain,Western Asia (M49) and Northern Africa (M49),Western Asia (M49),Western Asia (M49),,,yes
BHS,Bahamas,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Caribbean (M49),,Small island developing States (SIDS),yes
BIH,Bosnia and Herzegovina,Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),,,yes
BLM,Saint Barthélemy,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Caribbean (M49),,,no
BLR,Belarus,Northern America (M49) and Europe (M49),Europe (M49),Eastern Europe (M49),,,yes
BLZ,Belize,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Central America (M49),,Small island developing States (SIDS),yes
BMU,Bermuda,Northern America (M49) and Europe (M49),Northern America (M49),Northern America (M49),,,no
BOL,Bolivia (Plurinational State of),Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),South America (M49),,Landlocked developing countries (LLDCs),yes
BRA,Brazil,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),South America (M49),,,yes
BRB,Barbados,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Caribbean (M49),,Small island developing States (SIDS),yes
BRN,Brunei Darussalam,Eastern Asia (M49) and South-eastern Asia (MDG=M49),South-eastern Asia (MDG=M49),South-eastern Asia (MDG=M49),,,yes
BTN,Bhutan,Central Asia (M49) and Southern Asia (MDG=M49),Southern Asia (MDG=M49),Southern Asia (MDG=M49),Least developed countries (LDCs),Landlocked developing countries (LLDCs),yes
BWA,Botswana,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Southern Africa (M49),,Landlocked developing countries (LLDCs),yes
CAF,Central African Republic,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49),Least developed countries (LDCs),Landlocked developing countries (LLDCs),yes
CAN,Canada,Northern America (M49) and Europe (M49),Northern America (M49),Northern America (M49),,,yes
CCK,Cocos (Keeling) Islands,Australia and New Zealand (M49),Oceania (M49),Australia and New Zealand (M49),,,no
CHE,Switzerland,Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),,,yes
CHI,Channel Islands,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),,,no
CHL,Chile,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),South America (M49),,,yes
CHN,China,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Eastern Asia (M49),Eastern Asia (M49),,,yes
CIV,Cote d'Ivoire,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),,,yes
CMR,Cameroon,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49),,,yes
COD,Democratic Republic of the Congo,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49),Least developed countries (LDCs),,yes
COG,Congo,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49),,,yes
COK,Cook Islands,Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Polynesia (M49),,Small island developing States (SIDS),yes
COL,Colombia,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),South America (M49),,,yes
COM,Comoros,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Least developed countries (LDCs),Small island developing States (SIDS),yes
CPV,Cabo Verde,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),,Small island developing States (SIDS),yes
CRI,Costa Rica,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Central America (M49),,,yes
CSK,"Czechoslovakia, Former",,,,,,no
CUB,Cuba,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Caribbean (M49),,Small island developing States (SIDS),yes
CUW,Curacao,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Caribbean (M49),,Small island developing States (SIDS),no
CXR,Christmas Island,Australia and New Zealand (M49),Oceania (M49),Australia and New Zealand (M49),,,no
CYM,Cayman Islands,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Caribbean (M49),,,no
CYP,Cyprus,Western Asia (M49) and Northern Africa (M49),Western Asia (M49),Western Asia (M49),,,yes
CZE,Czechia,Northern America (M49) and Europe (M49),Europe (M49),Eastern Europe (M49),,,yes
DDR,"Germany, Former Democratic Republic",,,,,,no
DEF,"Germany, Former Federal Republic",,,,,,no
DEU,Germany,Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),,,yes
DJI,Djibouti,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Least developed countries (LDCs),,yes
DMA,Dominica,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Caribbean (M49),,Small island developing States (SIDS),yes
DNK,Denmark,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),,,yes
DOM,Dominican Republic,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),Caribbean (M49),,Small island developing States (SIDS),yes
DZA,Algeria,Western Asia (M49) and Northern Africa (M49),Northern Africa (M49),Northern Africa (M49),,,yes
ECU,Ecuador,Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),South America (M49),,,yes
EGY,Egypt,Western Asia (M49) and Northern Africa (M49),Northern Africa (M49),Northern Africa (M49),,,yes
ERI,Eritrea,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Least developed countries (LDCs),,yes
ESH,Western Sahara,Western Asia (M49) and Northern Africa (M49),Northern Africa (M49),Northern Africa (M49),,,no
ESP,Spain,Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),,,yes
EST,Estonia,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),,,yes
ETH,Ethiopia,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Least developed countries (LDCs),Landlocked developing countries (LLDCs),yes
FIN,Finland,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),,,yes
FJI,Fiji,Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Melanesia (M49),,Small island developing States (SIDS),yes
FLK,Falkland Islands (Malvinas),Latin America & the Caribbean (MDG=M49),Latin America & the Caribbean (MDG=M49),South America (M49),,,no
FRA,France,Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),,,yes
FRO,Faeroe Islands,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),,,no
FSM,Micronesia (Federated States of),Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Micronesia (M49),,Small island developing States (SIDS),yes
GAB,Gabon,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49),,,yes
GBR,United Kingdom,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),,,yes
GEO,Georgia,Western Asia (M49) and Northern Africa (M49),Western Asia (M49),Western Asia (M49),,,yes
GGY,Guernsey,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),,,no
