"iso_alpha_3_code","UNICEF_Sub_Region_Name","UNICEF_Region_Name","UNPD_Region","UNPD_Sub_Region","UNPD_More_Developed","UNPD_Less_Developed","UNPD_Least_Developed","UNPD_Land_Locked_Developing","UNPD_Small_Island_Developing","SDG_Region","SDG_Sub_Region","World_Bank_Region","World_Bank_Income","UNFPA_Region","WHO_Region"
"AFG","South Asia","South Asia","Asia","Southern Asia",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Central and Southern Asia","Southern Asia","South Asia","Low income","Asia and the Pacific","Eastern Mediterranean"
"AGO","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Middle Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Middle Africa","Sub-Saharan Africa","Lower middle income","East and Southern Africa","Africa"
"AIA","Latin America and Caribbean","Latin America and Caribbean",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Caribbean",NA,NA,"Latin American and Caribbean",NA
"ALB","Eastern Europe and Central Asia","Europe and Central Asia","Europe","Southern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Southern Europe","Europe & Central Asia","Upper middle income","Eastern Europe and Central Asia","Europe"
"AND","Western Europe","Europe and Central Asia",NA,NA,NA,NA,NA,NA,NA,"Europe and Northern America","Southern Europe","Europe & Central Asia","High income","non-UNFPA",NA
"ARE","Middle East and North Africa","Middle East and North Africa","Asia","Western Asia",NA,"Less Developed",NA,NA,NA,"Northern Africa and Western Asia","Western Asia","Middle East & North Africa","High income","non-UNFPA","Eastern Mediterranean"
"ARG","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","South America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","South America","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"ARM","Eastern Europe and Central Asia","Europe and Central Asia","Asia","Western Asia",NA,"Less Developed",NA,"Land Locked Developing",NA,"Northern Africa and Western Asia","Western Asia","Europe & Central Asia","Upper middle income","Eastern Europe and Central Asia","Europe"
"ATG","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Caribbean",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","Caribbean","Latin America & Caribbean","High income","Latin American and Caribbean","Americas"
"AUS","East Asia and Pacific","East Asia and Pacific","Oceania","Australia/New Zealand","More Developed",NA,NA,NA,NA,"Australia/New Zealand","Australia/New Zealand","East Asia & Pacific","High income","non-UNFPA","Western Pacific"
"AUT","Western Europe","Europe and Central Asia","Europe","Western Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Western Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"AZE","Eastern Europe and Central Asia","Europe and Central Asia","Asia","Western Asia",NA,"Less Developed",NA,"Land Locked Developing",NA,"Northern Africa and Western Asia","Western Asia","Europe & Central Asia","Upper middle income","Eastern Europe and Central Asia","Europe"
"BDI","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Sub-Saharan Africa","Eastern Africa","Sub-Saharan Africa","Low income","East and Southern Africa","Africa"
"BEL","Western Europe","Europe and Central Asia","Europe","Western Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Western Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"BEN","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Lower middle income","West and Central Africa","Africa"
"BFA","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Low income","West and Central Africa","Africa"
"BGD","South Asia","South Asia","Asia","Southern Asia",NA,"Less Developed","Least Developed",NA,NA,"Central and Southern Asia","Southern Asia","South Asia","Lower middle income","Asia and the Pacific","South-East Asia"
"BGR","Eastern Europe and Central Asia","Europe and Central Asia","Europe","Eastern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Eastern Europe","Europe & Central Asia","Upper middle income","non-UNFPA","Europe"
"BHR","Middle East and North Africa","Middle East and North Africa","Asia","Western Asia",NA,"Less Developed",NA,NA,"Small Island Developing States","Northern Africa and Western Asia","Western Asia","Middle East & North Africa","High income","non-UNFPA","Eastern Mediterranean"
"BHS","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Caribbean",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","Caribbean","Latin America & Caribbean","High income","Latin American and Caribbean","Americas"
"BIH","Eastern Europe and Central Asia","Europe and Central Asia","Europe","Southern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Southern Europe","Europe & Central Asia","Upper middle income","Eastern Europe and Central Asia","Europe"
"BLR","Eastern Europe and Central Asia","Europe and Central Asia","Europe","Eastern Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Eastern Europe","Europe & Central Asia","Upper middle income","Eastern Europe and Central Asia","Europe"
"BLZ","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Central America",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","Central America","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
