"iso_alpha_3_code","year_mid","year_start","year_end","final_pm","include","include_reason","citation_short","env_total_imputed","live_births_imputed","obs_selogpm","type","definition"
"TLS",2015.125,2014.625,2015.625,0.230283911671924,TRUE,NA,"Census",NA,32816.5,NA,"census","pregn"
"TLS",2022.4,2021.9,2022.9,0.1904,TRUE,NA,"Census",NA,30702.5,NA,"census","pregn"
"SLE",2015.45833333333,2014.95833333333,2015.95833333333,0.171143394648829,TRUE,NA,"Census",NA,243953.791666667,NA,"census","pregn"
"BTN",2016.91666666667,2016.41666666667,2017.41666666667,0.0192730443159923,TRUE,NA,"Census",NA,10785.5833333333,NA,"census","pregn"
"KHM",2018.70833333333,2018.20833333333,2019.20833333333,0.137360356738769,TRUE,NA,"Census",NA,380054.5,NA,"census","pregn"
"MDG",2017.91666666667,2017.41666666667,2018.41666666667,0.223,TRUE,NA,"Census",NA,910441.666666669,NA,"census","pregn"
"MWI",2018.20833333333,2017.70833333333,2018.70833333333,0.175523136840716,TRUE,NA,"Census",NA,613291.333333333,NA,"census","pregn"
"MOZ",2017.125,2016.625,2017.625,0.135263199360713,TRUE,NA,"Census",NA,1110862.5,NA,"census","pregn"
"VNM",2018.79166666667,2018.29166666667,2019.29166666667,0.02365373,TRUE,NA,"Census",NA,1492052.33333333,NA,"census","pregn"
"BEN",1991.56,1991,1992.12,0.15,TRUE,NA,"Census",NA,277362.119999972,NA,"census","pregn"
"BFA",2006.46,2005.96,2006.96,0.13,TRUE,NA,"Census",NA,636953.320000001,NA,"census","pregn"
"BOL",2000.5,2000,2001,0.175,FALSE,"Quality of census measurement not clear","Census",NA,256865,NA,"census","pregn"
"BTN",2004.91,2004.41,2005.41,0.1252,TRUE,NA,"Census",NA,13890.04,NA,"census","pregn"
"CPV",2010,2009.5,2010.5,0.0495,TRUE,NA,"Census",NA,10141,NA,"census","pregn"
"KHM",1997.7,1997.2,1998.2,0.202518891687657,TRUE,NA,"Census",NA,366374.6,NA,"census","pregn"
"ETH",2006.8875,2006.4,2007.375,0.36041439476554,TRUE,NA,"Census",NA,3237701.9999997,NA,"census","pregn"
"GHA",2010.236264,2009.736264,2010.736264,0.0907427954538639,TRUE,NA,"Census",NA,826484.236615998,NA,"census","pregn"
"GMB",2012.74657534247,2012.24657534247,2013.24657534247,0.2643,TRUE,NA,"Census",NA,79509.3424657535,NA,"census","pregn"
"GNB",2008.6607145,2008.162088,2009.159341,0.1853,FALSE,"Quality of census measurement not clear","Census",NA,58484.6496160001,NA,"census","pregn"
"HND",2000.5,2000,2001,0.104,TRUE,NA,"Census",NA,224798,NA,"census","pregn"
"HND",2013.08333333333,2012.58333333333,2013.58333333333,0.077,TRUE,NA,"Census",NA,220505.583333333,NA,"census","pregn"
"IRN",1996.37,1995.87,1996.87,0.04123933930692,TRUE,NA,"Census",NA,1128643.29000001,NA,"census","pregn"
"KEN",2009.16666666667,2008.66666666667,2009.66666666667,0.2068,TRUE,NA,"Census",NA,1495961.66666667,NA,"census","pregn"
"KHM",2007.67,2007.17,2008.17,0.1968,TRUE,NA,"Census",NA,362939.38,NA,"census","pregn"
"LAO",1994.66,1994.16,1995.16,0.225,TRUE,NA,"Census",NA,191927.24,NA,"census","pregn"
"LAO",2004.66,2004.16,2005.16,0.148225,TRUE,NA,"Census",NA,173095.04,NA,"census","pregn"
"LAO",2014.66301369863,2014.16438356164,2015.16164383562,0.0896,TRUE,NA,"Census",NA,167752.219178051,NA,"census","pregn"
"LSO",1995.78,1995.28,1996.28,0.102855017940289,TRUE,NA,"Census",NA,59739.6,NA,"census","pregn"
"LBR",2007.70416666667,2007.2,2008.20833333333,0.185485103132162,TRUE,NA,"Census",NA,150149.541666648,NA,"census","pregn"
"MWI",2008,2007.5,2008.5,0.0276,FALSE,"Quality of census measurement not clear","Census",NA,591199.5,NA,"census","pregn"
"MLI",2008.7554945,2008.247253,2009.263736,0.347,TRUE,NA,"Census",NA,722265.476512078,NA,"census","pregn"
"MMR",2013.74520547945,2013.24657534247,2014.24383561644,0.108,TRUE,NA,"Census",NA,936789.024657572,NA,"census","pregn"
"MOZ",2007.081044,2006.582418,2007.57967,0.1305,TRUE,NA,"Census",NA,866149.449628102,NA,"census","pregn"
"MOZ",2023.1,2022.6,2023.6,NA,TRUE,NA,"Census",NA,NA,NA,"census","pregn"
"NAM",2011.156593,2010.656593,2011.656593,0.0716,TRUE,NA,"Census",NA,66350.9884319999,NA,"census","pregn"
"NIC",2004.7,2004,2005.4,0.0848,TRUE,NA,"Census",NA,190107.600000012,NA,"census","pregn"
"NPL",2010.965659,2010.458791,2011.472527,0.210778092355755,TRUE,NA,"Census",NA,632127.539756926,NA,"census","pregn"
"NPL",2021.4,2020.9,2021.9,0.0503,TRUE,NA,"Census",NA,580343,NA,"census","pregn"
"PRK",2008.2486265,2007.75,2008.747253,0.024,FALSE,"Quality of census measurement not clear","Census",NA,343032.073412,NA,"census","pregn"
"PRK",2018.6,2018.1,2019.1,0.0213,TRUE,NA,"Census",NA,348253.4,NA,"census","pregn"
"PRY",2001.5,2001,2002,0.107,TRUE,NA,"Census",NA,134531,NA,"census","pregn"
"RWA",2012.120879,2011.620879,2012.620879,NA,FALSE,"Quality of census measurement not clear","Census",NA,356394.730963,NA,"census","pregn"
"SDN",2007.5,2007,2008,0.3382,TRUE,NA,"Census",NA,1273576,NA,"census","pregn"
"SEN",2023.05,2022.5,2023.6,0.1317,TRUE,NA,"Census",NA,NA,NA,"census","pregn"
"SLB",2009.392857,2008.892857,2009.892857,0.1133,TRUE,NA,"Census",NA,17425.464253,NA,"census","pregn"
"SLV",2006.8695055,2006.35989,2007.379121,NA,TRUE,NA,"Census",NA,127435.146904999,NA,"census","pregn"
"SSD",2007.5,2007,2008,0.2454,TRUE,NA,"Census",NA,354907,NA,"census","pregn"
"SWZ",2006.821429,2006.321429,2007.321429,0.105937633,TRUE,NA,"Census",NA,34994.821483,NA,"census","pregn"
"SWZ",2016.5,2016,2017,NA,TRUE,NA,"Census",NA,31753,NA,"census","pregn"
"TLS",2010.024725,2009.524725,2010.524725,0.21,TRUE,NA,"Census",NA,34150.24725,NA,"census","pregn"
"TZA",2012.16666666667,2011.66666666667,2012.66666666667,0.268,TRUE,NA,"Census",NA,1788065.66666667,NA,"census","pregn"
"TZA",2021.5,2021,2022,0.1031,TRUE,NA,"Census",NA,2262827,NA,"census","pregn"
"ZAF",2001.27,2000.77,2001.77,0.064,TRUE,NA,"Census",NA,1012818.28,NA,"census","pregn"
"ZAF",2011.2733515,2010.774725,2011.771978,0.032,TRUE,NA,"Census",NA,1164647.872886,NA,"census","pregn"
"ZMB",2010.269231,2009.75,2010.788462,0.133814,TRUE,NA,"Census",NA,597550.766801989,NA,"census","pregn"
"ZWE",1992.13,1991.63,1992.63,0.11,TRUE,NA,"Census",NA,365474.93,NA,"census","pregn"
"ZWE",2002.153846,2001.653846,2002.653846,0.073,TRUE,NA,"Census",NA,439889.806902,NA,"census","pregn"
"ZWE",2012.126374,2011.626374,2012.626374,0.0980693961915652,TRUE,NA,"Census",NA,520954.649786,NA,"census","pregn"
"KEN",2019.2,2018.7,2019.7,0.130729908656666,TRUE,NA,"Census",NA,1449024.8,NA,"census","pregn"
"BFA",2018.62,2018.12,2019.12,NA,TRUE,NA,"Census",NA,733935.200000002,NA,"census","pregn"
