"iso_alpha_3_code","year_start","year_end","year_mid","env_total","env_mat","truemat_vr","truemat","truemat_vr_unscaled","truemat_unscaled","tp","tn","fp","fn","up","un","include","include_bmis_global","include_bmis","include_bmat_reason","include_bmis_reason","incomplete_vr_multiplier","check_outside_of_vr","study_period_coverage","citation_short","citation_long","completeness_inq","complete_vr","obs_matdeaths","final_env","final_pm","obs_selogpm","type","definition","mat_vr","nonmat_vr","tot","tot_vr","rho_ref","mat_vr_ref","tot_vr_ref","tot_ref","dmname","iso_country_name","who_code_2","obs_matdeaths_incl_late","obs_matdeaths_late","obs_env","ill_defined_death_proportion","ill_defined_death_proportion2","obs_ill","exclude_reason","icd_utilized","icd","covid19","env_total_who_estimated","include_hasvrdata","rho_period","rho_period_max","rho_period_min","vrenv_vradj","ytot_bmis","rho_bmis","vrenv_bmat","ytot_bmat","rho_bmat","rho_intermediate","usability_percentage","include_reason","name","id","ori_vr_data_from_paho_update","special_case","t","sens","var_sens","sens_sq","oneminsens_sq","lower_sens","upper_sens","spec","var_spec","spec_sq","oneminspec_sq","lower_spec","upper_spec","rho_sesp","cov_sesp","cov.t","env_total_imputed","live_births_imputed","env_pregrelated","mmr","live_births","refID","mdeathspluslate","ramos...yes.1.","comments","env_total_lifetables","live_births_lifetables","final_mmr","final_pm_before_crisis","final_mmr_before_crisis","env_total_calculated_from_lifetables","live_births_calculated_from_birthsdata"
"AUS",1985,1997,1991,NA,250,250,NA,250,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,TRUE,NA,NA,1,"N","all years","Maternal deaths in Australia 1973-1996","Sullivan EA, Ford JB, Chambers G, Slaytor EK. Maternal mortality in Australia 1973–1996. AIHW Cat. No. PER 24. Sydney: AIHW National Perinatal Statistics Unit. (Maternal Deaths Series No.1); 2004.",0.996252020969085,TRUE,250,40669,0.00614718827608252,NA,"inq","maternal",169,40500,40669,40669,1,9,3408,3408,"overlapoutvr.multipleyrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.23073697992997e-05,0.00614718827608252,8.23073697992997e-05,40822,3048822
"AUS",1994,1997,1995.5,NA,80,80,80,80,80,NA,NA,NA,NA,0,0,TRUE,TRUE,TRUE,NA,NA,1,"Y","all years","Maternal Deaths in Australia 1994-1996","Report on Maternal Deaths in Australia, 1994–1996. Canberra: National Health and Medical Research Council (NHMRC), AIHW National Perinatal Statistics Unit; 2001.",1,TRUE,80,10340,0.00773694390715667,NA,"inq","maternal",52,10211,10263,10263,1,21,3433,3433,"overlapoutvr.multipleyrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000103922691909488,0.00773694390715667,0.000103922691909488,10340,769803
"AUS",1997,2000,1998.5,NA,54,54,NA,54,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,TRUE,NA,NA,1,"N","all years","Maternal deaths in Australia 1997-1999","Slaytor EK, Sullivan EA, King JF. Maternal deaths in Australia 1997–1999. AIHW Cat. No. PER 24. Sydney: AIHW National Perinatal Statistics Unit. (Maternal Deaths Series No.1); 2004.",0.993047830923248,TRUE,54,10713,0.00504060487258471,NA,"inq","maternal",30,10683,10713,10713,1,5,3553,3553,"overlapoutvr.multipleyrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24952643951785e-05,0.00504060487258471,7.24952643951785e-05,10788,750091
"AUS",2000,2003,2001.5,NA,44,44,NA,44,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,TRUE,NA,NA,1,"N","all years","Maternal deaths in Australia 2008-2012","Australian Institute of Health and Welfare (AIHW): Humphrey MD, Bonello MR, Chughtai A, Macaldowie A, Harris K, Chambers GM.  Maternal deaths in Australia 2008-2012. Maternal Deaths Series no. 5. CAT. No. PER 70. Canberra: AIHW; 2015.",0.99228138739619,TRUE,44,10156,0.00433241433635289,NA,"inq","maternal",38,10118,10156,10156,1,12,3307,3307,"overlapoutvr.multipleyrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94260873556094e-05,0.00433241433635289,5.94260873556094e-05,10235,746175
"AUS",2006,2011,2008.5,NA,63,63,NA,63,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,TRUE,NA,NA,1,"N","all years","Maternal deaths in Australia 2008-2012","Australian Institute of Health and Welfare (AIHW): Humphrey MD, Bonello MR, Chughtai A, Macaldowie A, Harris K, Chambers GM.  Maternal deaths in Australia 2008-2012. Maternal Deaths Series no. 5. CAT. No. PER 70. Canberra: AIHW; 2015.",0.998466351757561,TRUE,63,16276,0.00387072990906857,NA,"inq","maternal",42,16234,16276,16276,1,6,3222,3222,"overlapoutvr.multipleyrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31332977728999e-05,0.00387072990906857,4.31332977728999e-05,16301,1462832
"AUS",2008,2013,2010.5,NA,75,75,NA,75,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,TRUE,NA,NA,1,"N","all years","Maternal deaths in Australia 2008-2012","Australian Institute of Health and Welfare (AIHW): Humphrey MD, Bonello MR, Chughtai A, Macaldowie A, Harris K, Chambers GM.  Maternal deaths in Australia 2008-2012. Maternal Deaths Series no. 5. CAT. No. PER 70. Canberra: AIHW; 2015.",1.00284055823144,TRUE,75,16240,0.00461822660098522,NA,"inq","maternal",53,16187,16240,16240,1,11,3225,3225,"overlapoutvr.multipleyrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95005841619141e-05,0.00461822660098522,4.95005841619141e-05,16194,1510842
"AUS",2011,2012,2011.5,NA,26,26,NA,26,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,TRUE,NA,NA,1,"N","all years","Maternal deaths in Australia 2012-2014","Maternal deaths in Australia 2012-2014. Cat. No. PER 92. Canberra: Australian Institute of Health and Welfare (AIHW); 2017.",1.00364188163885,TRUE,26,3307,0.00786211067432718,NA,"inq","maternal",13,3294,3307,3307,1,13,3307,3307,"overlapoutvr.singleyrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5856219478506e-05,0.00786211067432718,8.5856219478506e-05,3295,301733
"AUS",2012,2013,2012.5,NA,27,27,NA,27,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,TRUE,NA,NA,1,"N","all years","Maternal deaths in Australia 2012-2014","Maternal deaths in Australia 2012-2014. Cat. No. PER 92. Canberra: Australian Institute of Health and Welfare (AIHW); 2017.",0.99589905362776,TRUE,27,3157,0.00855242318656953,NA,"inq","maternal",15,3142,3157,3157,1,15,3157,3157,"overlapoutvr.singleyrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79293919852671e-05,0.00855242318656953,8.79293919852671e-05,3170,308329
"AUS",2012,2015,2013.5,NA,63,63,63,63,63,NA,NA,NA,NA,0,0,TRUE,TRUE,TRUE,NA,NA,1,"Y","all years","Maternal deaths in Australia 2012-2014","Maternal deaths in Australia 2012-2014. Cat. No. PER 92. Canberra: Australian Institute of Health and Welfare (AIHW); 2017.",1,TRUE,63,9608,0.00655703580349709,NA,"inq","maternal",32,9587,9619,9619,1,6,3183,3183,"overlapoutvr.multipleyrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88080909577431e-05,0.00655703580349709,6.88080909577431e-05,9608,915590
"AUT",2000,2001,2000.5,NA,3,3,NA,3,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,TRUE,NA,NA,1,"N","all years","Die Entwicklung der mütterlichen Mortalität in Österreich 2008","Beck A, Vutuc C. Die Entwicklung der mütterlichen Mortalität in Österreich. Frauenarzt. 2008;49:21-6.",1,TRUE,3,1528,0.00196335078534031,NA,"inq","maternal",2,1526,1528,1528,1,2,1528,1528,"overlapoutvr.singleyrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84324677487541e-05,0.00196335078534031,3.84324677487541e-05,1528,78059
