"year_start","year_end","iso_alpha_3_code","env_mat","env_pregrelated","env_total","final_pm","mmr","definition","live_births","include","include_reason","citation_short","refID","mdeathspluslate","ramos? (yes=1)","citation_long","comments","env_total_lifetables","live_births_lifetables","year_mid","type","obs_selogpm"
1999,2002,"AFG",NA,NA,NA,0.886585153971816,1900,"maternal",NA,FALSE,"Study not nationally representative","RAMOS 2002
",NA,NA,NA,NA,NA,65499,3056339,2000.5,"misc",NA
1999,2000,"DZA",697,NA,7757,0.089854325,117.41,"maternal",593643,TRUE,NA,"ENMM 1999
",NA,NA,NA,NA,NA,11957,592808,1999.5,"misc",NA
2007,2011,"BGD",103.78,107.804,736,0.141005435,194,"maternal",NA,TRUE,NA,"BMMS 2010
",NA,NA,NA,NA,NA,299055,13943346,2009,"misc",NA
2013,2017,"BGD",NA,NA,NA,0.0890942111942582,195.862,"maternal",NA,TRUE,NA,"BMMS 2016 (Preliminary Report)
",NA,NA,NA,NA,NA,283674,12903836,2015,"misc",NA
1992.33,1994.17,"BTN",NA,18,102,0.176470588,380,"pregn",4735,TRUE,NA,"NHS 1994
",NA,NA,NA,NA,NA,1053.35000000008,37760.670000003,1993.25,"misc",NA
1999.2,2000.2,"BTN",NA,6,NA,0.0882754740872661,255.64,"pregn",NA,TRUE,NA,"NHS 2000
",NA,NA,NA,NA,NA,449.2,15511.4,1999.7,"misc",NA
2006,2011,"BTN",NA,12,145,0.08,145.7,"pregn",NA,TRUE,NA,"BMIS 2010
",NA,NA,NA,NA,NA,1704,69000,2008.5,"misc",NA
1982.33,1989.33,"BOL",NA,47.2,NA,NA,373,"pregn",NA,TRUE,NA,"DHS 1998
",NA,NA,NA,NA,NA,NA,NA,1985.83,"misc",NA
1984.16,1989.16,"BOL",NA,206,NA,NA,416,"pregn",NA,TRUE,NA,"DHS 1994
",NA,NA,NA,NA,NA,NA,NA,1986.66,"misc",NA
1989.16,1994.16,"BOL",NA,226,NA,0.164628872966439,390,"pregn",NA,TRUE,NA,"DHS 1994
",NA,NA,NA,NA,NA,30542.48,1289275.4,1991.66,"misc",NA
2011,2012,"BOL",538,NA,NA,0.0701396036278132,160,"maternal",NA,TRUE,NA,"Estudio Nacional de Mortalidad Materna 2011 Bolivia
",NA,NA,NA,NA,NA,5954,261007,2011.5,"misc",NA
2015,2016,"BWA",73,NA,NA,0.0352872290502793,151.6,"maternal",57480,FALSE,"Dublicate study included","CSO Botswana - Maternal mortality ratio 2011-2015",NA,NA,NA,NA,NA,2506,58331,2015.5,"misc",NA
2014,2015,"BWA",72,NA,NA,0.0266073686105112,127,"maternal",47478,FALSE,"Dublicate study included","CSO Botswana - Maternal mortality ratio 2011-2015",NA,NA,NA,NA,NA,2778,58201,2014.5,"misc",NA
2013,2014,"BWA",91,NA,NA,0.0355254984954865,182.6,"maternal",49839,TRUE,NA,"CSO Stats Brief 2014/1
",NA,NA,NA,NA,NA,2991,58191,2013.5,"misc",NA
2012,2013,"BWA",74,NA,NA,0.0278279392087488,147.9,"maternal",50048,TRUE,NA,"CSO Stats Brief 2014/2
",NA,NA,NA,NA,NA,3109,58497,2012.5,"misc",NA
2011,2012,"BWA",85,NA,NA,0.0343546740300376,188.86,"maternal",45008,TRUE,NA,"CSO Stats Brief 2014/2
",NA,NA,NA,NA,NA,3196,58137,2011.5,"misc",NA
2010,2011,"BWA",82,NA,NA,0.0292012550481516,163,"maternal",50328,TRUE,NA,"CSO Stats Brief 2014/2
",NA,NA,NA,NA,NA,3219,57668,2010.5,"misc",NA
2009,2010,"BWA",86,NA,NA,0.031178390922316,189.57,"maternal",45365,TRUE,NA,"CSO Stats Brief 2014/2
",NA,NA,NA,NA,NA,3437,56528,2009.5,"misc",NA
2008,2009,"BWA",88,NA,NA,0.0299055348509934,195.73,"maternal",44961,TRUE,NA,"CSO Stats Brief 2014/2
",NA,NA,NA,NA,NA,3624,55371,2008.5,"misc",NA
2007,2008,"BWA",82,NA,NA,0.025699562622866,183.47,"maternal",44693,TRUE,NA,"CSO Stats Brief 2009/17
",NA,NA,NA,NA,NA,3866,54153,2007.5,"misc",NA
2006,2007,"BWA",62,NA,NA,0.017334420051716,139.79,"maternal",44352,TRUE,NA,"CSO Stats Brief 2009/17
",NA,NA,NA,NA,NA,4254,52751,2006.5,"misc",NA
2005,2006,"BWA",71,NA,NA,0.0185999888940305,157.7,"maternal",45029,TRUE,NA,"CSO Stats Brief 2009/17
",NA,NA,NA,NA,NA,4322,50976,2005.5,"misc",NA
2016,2017,"BWA",85,NA,NA,0.0413882513513514,156.6,"maternal",54267,FALSE,"Dublicate study included","Maternal Mortality Ratio 2017",NA,NA,NA,NA,NA,2220,58673,2016.5,"misc",NA
2017,2018,"BWA",75,NA,NA,0.0431791836734694,143.2,"maternal",52358,FALSE,"Dublicate study included","Maternal Mortality Ratio 2017",NA,NA,NA,NA,NA,1960,59100,2017.5,"misc",NA
2010,2011,"CMR",121,NA,2510,0.048207171,652,"maternal",18551,FALSE,"Study not nationally representative","Rapport d’expertise sur les données relatives à la mortalité maternelle, 2010
",NA,NA,NA,NA,NA,23183,783507,2010.5,"misc",NA
1990,1991,"CHN",NA,NA,NA,0.0516651624630554,88.9,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2008
",NA,NA,NA,NA,NA,483156,28079115,1990.5,"misc",NA
1995,1996,"CHN",NA,NA,NA,0.0271947400115594,61.9,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2008
",NA,NA,NA,NA,NA,432550,19003368,1995.5,"misc",NA
1997,1998,"CHN",NA,NA,NA,0.0267219876688756,63.6,"maternal",NA,TRUE,NA,"Chinese Health Statistical Digest 2004
",NA,NA,NA,NA,NA,420724,17677015,1997.5,"misc",NA
