"iso_alpha_3_code","year_mid","year_start","year_end","final_pm","obs_selogpm","citation_short","include","type","definition"
"AFG",2007.15,2003.65,2010.65,0.394694922,NA,"AMS 2010",TRUE,"dhs","pregn"
"AFG",2012.646,2009.146,2016.146,0.670592189541746,0.041373213,"DHS 2015",TRUE,"dhs","pregn"
"AGO",2012.701,2009.201,2016.201,0.162150307962175,0.149032232,"DHS 2015-2016",TRUE,"dhs","pregn"
"BGD",1998.738,1996.238,2001.238,0.244355202,NA,"BMMS 2001",TRUE,"dhs","pregn"
"BEN",1993.045,1989.545,1996.545,0.324491282051402,0.108760646,"DHS 1996",TRUE,"dhs","pregn"
"BEN",2003.221,1999.721,2006.721,0.224234723277242,0.080143984,"DHS 2006",TRUE,"dhs","pregn"
"BEN",2011.245,2007.745,2014.745,0.220430748984013,0.122366052,"MICS 2014",TRUE,"dhs","pregn"
"BEN",2014.333333,2010.833333,2017.833333,0.264130688800786,0.087699716,"DHS 2017-2018",TRUE,"dhs","pregn"
"BOL",2000.321,1996.821,2003.821,0.127395801583832,0.157241803,"DHS 2003",TRUE,"dhs","pregn"
"BOL",2004.802,2001.302,2008.302,0.165724039438574,0.155775698,"DHS 2008",TRUE,"dhs","pregn"
"BOL",1990.333333,1986.833333,1993.833333,0.201860047474113,0.178187014,"DHS 1993-1994",TRUE,"dhs","pregn"
"BRA",1992.828,1989.328,1996.328,0.109677523754075,0.220475186,"DHS 1996",TRUE,"dhs","pregn"
"BFA",1995.532,1992.032,1999.032,0.204815230483215,0.141631584,"DHS 1998-1999",TRUE,"dhs","pregn"
"BFA",2007.203,2003.703,2010.703,0.172677765933585,0.08757829,"DHS 2010",TRUE,"dhs","pregn"
"BDI",2007.37,2003.87,2010.87,0.247406455996056,0.109996352,"DHS 2010",TRUE,"dhs","pregn"
"BDI",2013.679,2010.179,2017.179,0.214868450772345,0.088682027,"DHS 2016-2017",TRUE,"dhs","pregn"
"KHM",1996.83,1993.33,2000.33,0.156286837056857,0.123672306,"DHS 2000",TRUE,"dhs","pregn"
