"iso_alpha_3_code","year_start","year_end","allcause_1549_vr","allcause_1549_wpp","completeness","usability","ratio_vr/wpp"
"CPV",2011,2012,110,131,1,0.954545454545455,0.83969465648855
"CPV",2012,2013,151,124,1,0.966887417218543,1.21774193548387
"EGY",1987,1988,24504,26864,0.912150089338892,0.868187909469923,0.912150089338892
"EGY",1991,1992,22958,25831,0.888777050830398,0.820055838145868,0.888777050830398
"EGY",1992,1993,22200,25600,0.8671875,0.827908080528418,0.8671875
"EGY",2000,2001,20471,23828,0.859115326506631,0.788363886737241,0.859115326506631
"EGY",2001,2002,21314,23934,0.890532297150497,0.795250134703859,0.890532297150497
"EGY",2002,2003,21536,24120,0.892868988391376,0.807619905058111,0.892868988391376
"EGY",2003,2004,21725,24392,0.890660872417186,0.816233395811262,0.890660872417186
"EGY",2004,2005,21608,24746,0.873191626929605,0.810838404051129,0.873191626929605
"EGY",2005,2006,22107,25140,0.879355608591885,0.808857901200333,0.879355608591885
"EGY",2006,2007,22376,25528,0.876527734252585,0.810246827065327,0.876527734252585
"EGY",2007,2008,22249,25874,0.859897967071191,0.810645072526436,0.859897967071191
"EGY",2008,2009,22692,26169,0.867132867132867,0.820969375827943,0.867132867132867
"EGY",2009,2010,23426,26322,0.889977965200213,0.827608431907795,0.889977965200213
"EGY",2010,2011,24472,26427,0.926022628372498,0.835024912345451,0.926022628372498
"EGY",2011,2012,23772,26507,0.89681970800166,0.845332308874376,0.89681970800166
"EGY",2012,2013,24751,26457,0.935518010356427,0.85936219357723,0.935518010356427
"EGY",2013,2014,24340,26519,0.917832497454655,0.846551526059817,0.917832497454655
"EGY",2014,2015,24596,26324,0.934356480777997,0.896634983903112,0.934356480777997
"EGY",2015,2016,25619,26239,0.976371050726018,0.860162959700507,0.976371050726018
"EGY",2016,2017,24662,25970,0.949634193299961,0.863951874132346,0.949634193299961
"EGY",2017,2018,23828,25810,0.923208058891902,0.869068292879932,0.923208058891902
"EGY",2018,2019,24927,25658,0.971509860472367,0.86,0.971509860472367
"EGY",2019,2020,25405,25641,0.990795990795991,0.857997349990536,0.990795990795991
"LBY",2016,2017,1017,2748,0.370087336244541,0.263448784082535,0.370087336244541
"LBY",2017,2018,1006,2652,0.379336349924585,0.286405959031657,0.379336349924585
"MUS",1985,1986,408,408,1,0.980392156862745,1
"MUS",1986,1987,438,416,1,0.974885844748858,1.05288461538462
"MUS",1987,1988,424,421,1,0.974056603773585,1.00712589073634
"MUS",1988,1989,424,404,1,0.990566037735849,1.04950495049505
"MUS",1989,1990,387,391,1,0.981912144702842,0.989769820971867
"MUS",1990,1991,378,379,1,0.992063492063492,0.997361477572559
"MUS",1991,1992,372,392,1,0.986559139784946,0.948979591836735
"MUS",1992,1993,431,407,1,0.988399071925754,1.05896805896806
"MUS",1993,1994,412,419,1,0.983009708737864,0.983293556085919
"MUS",1994,1995,411,405,1,0.97323600973236,1.01481481481481
"MUS",1995,1996,387,384,1,0.984496124031008,1.0078125
"MUS",1996,1997,356,384,1,0.963483146067416,0.927083333333333
"MUS",1997,1998,403,394,1,0.937965260545906,1.02284263959391
"MUS",1998,1999,414,413,1,0.973429951690821,1.00242130750605
"MUS",1999,2000,405,414,1,0.980246913580247,0.978260869565217
"MUS",2000,2001,414,408,1,0.992753623188406,1.01470588235294
"MUS",2001,2002,395,410,1,0.987341772151899,0.963414634146341
"MUS",2002,2003,401,416,1,0.985037406483791,0.963942307692308
"MUS",2003,2004,430,418,1,0.976744186046512,1.02870813397129
"MUS",2004,2005,406,421,1,0.987684729064039,0.96437054631829
"MUS",2005,2006,408,420,1,0.987745098039216,0.971428571428571
"MUS",2006,2007,417,426,1,0.990407673860911,0.97887323943662
"MUS",2007,2008,417,422,1,0.992805755395683,0.988151658767773
"MUS",2008,2009,396,424,1,0.992424242424242,0.933962264150943
"MUS",2009,2010,418,441,1,0.992822966507177,0.947845804988662
"MUS",2010,2011,457,439,1,0.99562363238512,1.04100227790433
"MUS",2011,2012,378,439,1,0.992063492063492,0.861047835990888
"MUS",2012,2013,411,410,1,0.992700729927007,1.00243902439024
"MUS",2013,2014,377,420,1,0.989389920424403,0.897619047619048
"MUS",2014,2015,412,422,1,0.990291262135922,0.976303317535545
"MUS",2015,2016,411,421,1,0.992700729927007,0.97624703087886
"MUS",2016,2017,378,419,1,0.997354497354497,0.902147971360382
"MUS",2017,2018,413,433,1,0.99273607748184,0.953810623556582
"MUS",2018,2019,433,434,1,0.988452655889146,0.997695852534562
"MUS",2019,2020,437,434,1,0.988558352402746,1.00691244239631
"MUS",2020,2021,391,389,1,0.976982097186701,1.00514138817481
"MUS",2021,2022,491,485,1,0.981670061099796,1.01237113402062
"MUS",2022,2023,448,438,1,0.995535714285714,1.02283105022831
"MUS",2023,2024,446,429,1,0.993273542600897,1.03962703962704
"MAR",2000,2001,2540,17097,0.148564075568813,0.122852392388694,0.148564075568813
"MAR",2001,2002,2809,16858,0.166627120654882,0.117129754518479,0.166627120654882
"MAR",2002,2003,2563,16631,0.154109794961217,0.125279785125024,0.154109794961217
"MAR",2003,2004,2240,16403,0.136560385295373,0.131969424460432,0.136560385295373
"MAR",2004,2005,3503,16326,0.21456572338601,0.135850506797329,0.21456572338601
"MAR",2007,2008,3361,14724,0.22826677533279,0.175918311403509,0.22826677533279
"MAR",2008,2009,3145,14278,0.220268945230424,0.181175269757947,0.220268945230424
"MAR",2009,2010,3367,13863,0.2428767222102,0.18329688354292,0.2428767222102
"MAR",2010,2011,3047,13482,0.226005043762053,0.177183014354067,0.226005043762053
"MAR",2011,2012,3012,12889,0.233687640623788,0.17653741290518,0.233687640623788
"MAR",2012,2013,2655,12329,0.215345932354611,0.182295703091363,0.215345932354611
