"iso_country_name","who_code_2","iso_alpha_3_code","year_mid","year_start","year_end","obs_matdeaths_incl_late","obs_matdeaths_late","env_fromwhovr","ill_defined_death_proportion","ill_defined_death_proportion2","obs_ill","include","exclude_reason","icd_utilized","icd","mat_fromwhovr","pahocc_nonmatvr","pahocc_matvr","obs_matdeaths","obs_env","updateinmat","updateinenv","env_total_who_estimated","include_hasvrdata","rho_period","rho_period_max","rho_period_min","vrenv_vradj","ytot_bmis","rho_bmis","vrenv_bmat","ytot_bmat","rho_bmat","rho_intermediate","usability_percentage","include_reason","final_env","final_pm","obs_selogpm","type","definition","name","id","ori_vr_data_from_paho_update","special_case"
"Cabo Verde","1060","CPV",2011.5,2011,2012,5,0,110,0.0454545454545455,0.5,5,TRUE,NA,TRUE,"103",5,105,5,5,110,0,0,123,TRUE,1,1,1,110,110,1,110,110,1,1,0.954545454545455,NA,110,0.0454545454545455,NA,"vr","maternal",NA,NA,NA,FALSE
"Cabo Verde","1060","CPV",2012.5,2012,2013,1,0,151,0.033112582781457,0.556291390728477,5,TRUE,NA,TRUE,"103",1,150,1,1,151,0,0,133,TRUE,1,1,1,151,151,1,151,151,1,1,0.966887417218543,NA,151,0.00662251655629139,NA,"vr","maternal",NA,NA,NA,FALSE
"Egypt","1125","EGY",1987.5,1987,1988,1202,NA,24504,0.048196212863206,0.722984002611818,1181,TRUE,NA,FALSE,"09B",1202,NA,NA,1202,24504,0,0,26923,TRUE,0.910151171860491,0.913568324480927,0.906734019240055,24504,26923,0.910151171860491,24504,26923,0.910151171860491,0.910151171860491,0.866285332243806,NA,24504,0.0490532158015018,NA,"vr","maternal",NA,NA,NA,FALSE
"Egypt","1125","EGY",1991.5,1991,1992,713,NA,22958,0.0660336266225281,0.728852687516334,1516,TRUE,NA,FALSE,"09B",713,NA,NA,713,22958,0,0,26761,TRUE,0.830659995585314,0.833805459495254,0.827496137149584,22958,27638,0.830667920978363,22958,26761,0.857890213370203,0.830659995585314,0.775815905637166,NA,22958,0.0310567122571653,NA,"vr","maternal",NA,NA,NA,FALSE
"Egypt","1125","EGY",1992.5,1992,1993,700,NA,22200,0.0571171171171171,0.740855855855856,1268,TRUE,NA,FALSE,"09B",700,NA,NA,700,22200,0,0,27603,TRUE,0.830659995585314,0.833805459495254,0.827496137149584,22200,26725,0.830682881197381,22200,27603,0.804260406477557,0.830659995585314,0.783236669784846,NA,22200,0.0315315315315315,NA,"vr","maternal",NA,NA,NA,FALSE
"Egypt","1125","EGY",2000.5,2000,2001,491,4,20471,0.105075472619804,0.706804748180353,2151,TRUE,NA,TRUE,"103",487,NA,NA,487,20471,0,0,28392,TRUE,0.74648103175913,0.749404663664442,0.743545611015491,20471,27423,0.746490172482952,20471,28392,0.721012961397577,0.74648103175913,0.668052364803267,NA,20471,0.0237897513555762,NA,"vr","maternal",NA,NA,NA,FALSE
"Egypt","1125","EGY",2001.5,2001,2002,512,7,21314,0.099793562916393,0.719573988927465,2127,TRUE,NA,TRUE,"103",505,NA,NA,505,21314,0,0,28292,TRUE,0.747499428691968,0.750021973385835,0.744976883998101,21314,28513,0.74751867569179,21314,28292,0.753357839671992,0.747499428691968,0.672921123697962,NA,21314,0.0236933470958056,NA,"vr","maternal",NA,NA,NA,FALSE
"Egypt","1125","EGY",2002.5,2002,2003,646,6,21536,0.0836274145616642,0.733005200594354,1801,TRUE,NA,TRUE,"103",640,NA,NA,640,21536,0,0,28142,TRUE,0.748454375118422,0.750707022505421,0.746201727731423,21536,28773,0.748479477287735,21536,28142,0.765261886148817,0.748454375118422,0.685886073749696,NA,21536,0.0297176820208024,NA,"vr","maternal",NA,NA,NA,FALSE
"Egypt","1125","EGY",2003.5,2003,2004,692,5,21725,0.0779286536248562,0.732750287686997,1693,TRUE,NA,TRUE,"103",687,NA,NA,687,21725,0,0,28948,TRUE,0.760500867317916,0.762713054714768,0.758281657103931,21725,28566,0.760519498704754,21725,28948,0.750483625811801,0.760500867317916,0.701253238115242,NA,21725,0.0316225546605293,NA,"vr","maternal",NA,NA,NA,FALSE
"Egypt","1125","EGY",2004.5,2004,2005,535,8,21608,0.0811273602369493,0.756710477600889,1753,TRUE,NA,TRUE,"103",527,NA,NA,527,21608,0,0,28725,TRUE,0.770225534252751,0.772409032639779,0.768034992322538,21608,28054,0.770228844371569,21608,28725,0.752236727589208,0.770225534252751,0.707742211449348,NA,21608,0.0243891151425398,NA,"vr","maternal",NA,NA,NA,FALSE
