"","TimePeriod","Value","Percentile","GeoAreaCode","Nature","Indicator","Time_Detail"
"1",1985,836.384941478706,0.1,98100,"E","3.1.1","Calendar year"
"2",1985,916.805855688215,0.5,98100,"E","3.1.1","Calendar year"
"3",1985,1067.45312217993,0.9,98100,"E","3.1.1","Calendar year"
"4",1986,822.362478691163,0.1,98100,"E","3.1.1","Calendar year"
"5",1986,900.800786209053,0.5,98100,"E","3.1.1","Calendar year"
"6",1986,1042.43004325325,0.9,98100,"E","3.1.1","Calendar year"
"7",1987,811.05640189803,0.1,98100,"E","3.1.1","Calendar year"
"8",1987,888.707449835179,0.5,98100,"E","3.1.1","Calendar year"
"9",1987,1022.68426993506,0.9,98100,"E","3.1.1","Calendar year"
"10",1988,799.576039612944,0.1,98100,"E","3.1.1","Calendar year"
"11",1988,874.742597170077,0.5,98100,"E","3.1.1","Calendar year"
"12",1988,1000.85652389706,0.9,98100,"E","3.1.1","Calendar year"
"13",1989,795.710037895636,0.1,98100,"E","3.1.1","Calendar year"
"14",1989,869.125926331094,0.5,98100,"E","3.1.1","Calendar year"
"15",1989,989.403888687392,0.9,98100,"E","3.1.1","Calendar year"
"16",1990,793.60055634839,0.1,98100,"E","3.1.1","Calendar year"
"17",1990,864.842555569186,0.5,98100,"E","3.1.1","Calendar year"
"18",1990,978.55659237126,0.9,98100,"E","3.1.1","Calendar year"
"19",1991,780.939654837047,0.1,98100,"E","3.1.1","Calendar year"
"20",1991,847.018914605039,0.5,98100,"E","3.1.1","Calendar year"
"21",1991,955.05720415537,0.9,98100,"E","3.1.1","Calendar year"
"22",1992,776.894915745132,0.1,98100,"E","3.1.1","Calendar year"
"23",1992,841.61049634695,0.5,98100,"E","3.1.1","Calendar year"
"24",1992,943.943380904205,0.9,98100,"E","3.1.1","Calendar year"
"25",1993,776.816968934597,0.1,98100,"E","3.1.1","Calendar year"
"26",1993,839.366970672479,0.5,98100,"E","3.1.1","Calendar year"
"27",1993,937.908115607553,0.9,98100,"E","3.1.1","Calendar year"
"28",1994,773.920518415086,0.1,98100,"E","3.1.1","Calendar year"
"29",1994,835.242536154846,0.5,98100,"E","3.1.1","Calendar year"
"30",1994,931.320057076476,0.9,98100,"E","3.1.1","Calendar year"
"31",1995,768.274031323752,0.1,98100,"E","3.1.1","Calendar year"
"32",1995,828.874238093374,0.5,98100,"E","3.1.1","Calendar year"
"33",1995,921.915283299577,0.9,98100,"E","3.1.1","Calendar year"
"34",1996,767.11584863948,0.1,98100,"E","3.1.1","Calendar year"
"35",1996,826.156844026401,0.5,98100,"E","3.1.1","Calendar year"
"36",1996,916.515657004987,0.9,98100,"E","3.1.1","Calendar year"
"37",1997,760.798774041201,0.1,98100,"E","3.1.1","Calendar year"
"38",1997,817.8581702932,0.5,98100,"E","3.1.1","Calendar year"
"39",1997,904.866492660092,0.9,98100,"E","3.1.1","Calendar year"
"40",1998,755.251846443944,0.1,98100,"E","3.1.1","Calendar year"
"41",1998,810.500503544767,0.5,98100,"E","3.1.1","Calendar year"
"42",1998,894.607415754851,0.9,98100,"E","3.1.1","Calendar year"
"43",1999,750.525960701345,0.1,98100,"E","3.1.1","Calendar year"
"44",1999,803.301228077077,0.5,98100,"E","3.1.1","Calendar year"
"45",1999,883.722266101563,0.9,98100,"E","3.1.1","Calendar year"
"46",2000,738.964441963233,0.1,98100,"E","3.1.1","Calendar year"
"47",2000,788.166057065393,0.5,98100,"E","3.1.1","Calendar year"
"48",2000,865.582674240882,0.9,98100,"E","3.1.1","Calendar year"
"49",2001,723.613276002614,0.1,98100,"E","3.1.1","Calendar year"
"50",2001,770.652690698094,0.5,98100,"E","3.1.1","Calendar year"
"51",2001,844.909843082511,0.9,98100,"E","3.1.1","Calendar year"
"52",2002,711.41001664301,0.1,98100,"E","3.1.1","Calendar year"
"53",2002,756.273857862231,0.5,98100,"E","3.1.1","Calendar year"
"54",2002,826.827069428484,0.9,98100,"E","3.1.1","Calendar year"
"55",2003,695.625051829962,0.1,98100,"E","3.1.1","Calendar year"
"56",2003,737.593533821941,0.5,98100,"E","3.1.1","Calendar year"
"57",2003,805.350540498289,0.9,98100,"E","3.1.1","Calendar year"
"58",2004,671.526264746308,0.1,98100,"E","3.1.1","Calendar year"
"59",2004,710.760562495429,0.5,98100,"E","3.1.1","Calendar year"
"60",2004,775.73766990197,0.9,98100,"E","3.1.1","Calendar year"
"61",2005,641.107309250736,0.1,98100,"E","3.1.1","Calendar year"
"62",2005,677.956565516844,0.5,98100,"E","3.1.1","Calendar year"
