"","arr","percent_change_in_mmr","quantiles","period_start","period_end","stage"
"2.1",1.56578077228744,24.5606017545619,0.1,1999,2017,2
"2.2",2.55833567415585,36.9032183275638,0.5,1999,2017,2
"2.3",3.33214185385102,45.1070648040602,0.9,1999,2017,2
"2.4",0.0943671964926863,0.845708363830889,0.1,1990,1999,2
"2.5",0.966795905260695,8.33335666101503,0.5,1990,1999,2
"2.6",1.8023443709696,14.9738213070373,0.9,1990,1999,2
"2.7",2.01173158613348,16.5611236877225,0.1,2000,2009,2
"2.8",3.03265248621326,23.8860574037238,0.5,2000,2009,2
"2.9",3.88495724002941,29.5062513350462,0.9,2000,2009,2
"2.10",0.741645531655084,5.05906084585504,0.1,2010,2017,2
"2.11",2.16590311083607,14.0679413585427,0.5,2010,2017,2
"2.12",3.20876525762051,20.1175149265499,0.9,2010,2017,2
"4.1",2.9716046092335,41.4265595830602,0.1,1999,2017,4
"4.2",3.60256370501451,47.7150420352969,0.5,1999,2017,4
"4.3",4.37014243807544,54.4621181739534,0.9,1999,2017,4
"4.4",3.82170155353757,29.1037850478407,0.1,1990,1999,4
"4.5",4.9237728906486,35.7982399242837,0.5,1990,1999,4
"4.6",6.03343509238527,41.9002693579579,0.9,1990,1999,4
"4.7",3.42645861143117,26.536483286949,0.1,2000,2009,4
"4.8",4.11388022366499,30.9437792813013,0.5,2000,2009,4
"4.9",4.97705050906207,36.1053494856177,0.9,2000,2009,4
"4.10",1.54866265747311,10.2737112679168,0.1,2010,2017,4
"4.11",2.50633517152995,16.0915163995093,0.5,2010,2017,4
"4.12",3.63028972100857,22.440149229172,0.9,2010,2017,4
"3.1",3.8353904436366,49.8609616857279,0.1,1999,2017,3
"3.2",4.54395319284354,55.8647575744271,0.5,1999,2017,3
"3.3",5.25817350877887,61.1891841277878,0.9,1999,2017,3
"3.4",2.91646204537854,23.0859471156401,0.1,1990,1999,3
"3.5",4.1255008247765,31.0159642588158,0.5,1990,1999,3
"3.6",5.10443244606904,36.8336788428278,0.9,1990,1999,3
"3.7",3.90958876190021,29.6623512077122,0.1,2000,2009,3
"3.8",4.72389783427348,34.6328799244218,0.5,2000,2009,3
"3.9",5.61224146768426,39.65558166207,0.9,2000,2009,3
"3.10",3.23349526056417,20.2556798917321,0.1,2010,2017,3
"3.11",4.24303135858098,25.696504907934,0.5,2010,2017,3
"3.12",5.27649244522135,30.8819636142914,0.9,2010,2017,3
"1.1",1.25183788968609,20.1747896679497,0.1,1999,2017,1
"1.2",2.625790575452,37.6646997559055,0.5,1999,2017,1
"1.3",3.83513419124321,49.8586482402361,0.9,1999,2017,1
"1.4",-1.1611827939246,-11.0162556441633,0.1,1990,1999,1
"1.5",0.314963580639852,2.79487234468185,0.5,1990,1999,1
"1.6",1.64667412691079,13.7741924477731,0.9,1990,1999,1
"1.7",1.96294971209428,16.1939908799173,0.1,2000,2009,1
"1.8",3.56260113078348,27.4311269360388,0.5,2000,2009,1
"1.9",4.93568195853481,35.8670153315634,0.9,2000,2009,1
"1.10",-1.07840233013666,-7.84104833711135,0.1,2010,2017,1
"1.11",0.860737217078046,5.847238945852,0.5,2010,2017,1
"1.12",2.51070792914814,16.1171962412622,0.9,2010,2017,1
