"","year","mmr","quantiles","stage"
"2.1",1985,952.840583650806,0.1,2
"2.2",1985,1099.49030928019,0.5,2
"2.3",1985,1268.6917185467,0.9,2
"2.4",1986,937.106858445039,0.1,2
"2.5",1986,1075.70352099628,0.5,2
"2.6",1986,1238.76547626219,0.9,2
"2.7",1987,927.054139169728,0.1,2
"2.8",1987,1059.00698665567,0.5,2
"2.9",1987,1212.50319987423,0.9,2
"2.10",1988,913.139558953006,0.1,2
"2.11",1988,1038.41683488516,0.5,2
"2.12",1988,1184.04020728216,0.9,2
"2.13",1989,905.528892284238,0.1,2
"2.14",1989,1026.2182464923,0.5,2
"2.15",1989,1164.27567154863,0.9,2
"2.16",1990,899.19838379448,0.1,2
"2.17",1990,1014.00907799517,0.5,2
"2.18",1990,1146.36633945701,0.9,2
"2.19",1991,883.720599547343,0.1,2
"2.20",1991,991.747751850307,0.5,2
"2.21",1991,1117.46104932609,0.9,2
"2.22",1992,876.687150936224,0.1,2
"2.23",1992,979.716505790006,0.5,2
"2.24",1992,1099.4064609,0.9,2
"2.25",1993,874.453826252523,0.1,2
"2.26",1993,973.342909189343,0.5,2
"2.27",1993,1087.07390517147,0.9,2
"2.28",1994,871.967811686045,0.1,2
"2.29",1994,969.3021792606,0.5,2
"2.30",1994,1079.131865681,0.9,2
"2.31",1995,864.215174440501,0.1,2
"2.32",1995,958.609912097744,0.5,2
"2.33",1995,1064.81823575121,0.9,2
"2.34",1996,861.887939003416,0.1,2
"2.35",1996,954.058495417346,0.5,2
"2.36",1996,1057.78560298224,0.9,2
"2.37",1997,854.329489648914,0.1,2
"2.38",1997,943.090428538016,0.5,2
"2.39",1997,1041.33045800422,0.9,2
"2.40",1998,847.043308293608,0.1,2
"2.41",1998,931.930729170563,0.5,2
"2.42",1998,1027.80407715612,0.9,2
"2.43",1999,847.609379357521,0.1,2
"2.44",1999,930.096550481445,0.5,2
"2.45",1999,1022.57498905248,0.9,2
"2.46",2000,838.609952845712,0.1,2
"2.47",2000,917.69641801524,0.5,2
"2.48",2000,1006.16788397781,0.9,2
"2.49",2001,823.400019155164,0.1,2
"2.50",2001,898.084490975437,0.5,2
"2.51",2001,983.053297247376,0.9,2
"2.52",2002,812.974614976671,0.1,2
"2.53",2002,883.365298210363,0.5,2
"2.54",2002,964.723697640368,0.9,2
"2.55",2003,796.89724515885,0.1,2
"2.56",2003,863.131968752763,0.5,2
"2.57",2003,941.850442399828,0.9,2
"2.58",2004,771.315938787069,0.1,2
"2.59",2004,834.16370681651,0.5,2
"2.60",2004,907.570317428757,0.9,2
"2.61",2005,737.923799698005,0.1,2
"2.62",2005,797.862218500732,0.5,2
"2.63",2005,866.460899584964,0.9,2
"2.64",2006,708.939757853498,0.1,2
"2.65",2006,765.81325337397,0.5,2
"2.66",2006,831.416565566033,0.9,2
"2.67",2007,682.692249174242,0.1,2
"2.68",2007,738.454371213217,0.5,2
"2.69",2007,802.345889866797,0.9,2
"2.70",2008,662.887457344812,0.1,2
"2.71",2008,719.222433266462,0.5,2
"2.72",2008,781.859053050755,0.9,2
"2.73",2009,644.508595249427,0.1,2
"2.74",2009,701.779790997208,0.5,2
"2.75",2009,767.125032818282,0.9,2
"2.76",2010,626.014086596775,0.1,2
"2.77",2010,685.498105838898,0.5,2
"2.78",2010,753.105712407519,0.9,2
"2.79",2011,608.788457404184,0.1,2
"2.80",2011,669.663419280047,0.5,2
"2.81",2011,741.07667215503,0.9,2
"2.82",2012,592.769661753482,0.1,2
"2.83",2012,655.408843651095,0.5,2
"2.84",2012,730.616681290211,0.9,2
"2.85",2013,576.973060356363,0.1,2
"2.86",2013,641.06618606723,0.5,2
"2.87",2013,721.24739771944,0.9,2
"2.88",2014,562.545940989725,0.1,2
"2.89",2014,629.920506857006,0.5,2
"2.90",2014,715.349186500497,0.9,2
"2.91",2015,543.945957412186,0.1,2
"2.92",2015,614.014921742589,0.5,2
"2.93",2015,704.794845161551,0.9,2
"2.94",2016,529.952305933929,0.1,2
"2.95",2016,601.912796315068,0.5,2
"2.96",2016,697.966559903004,0.9,2
"2.97",2017,516.10376023141,0.1,2
